IMPORTANT: Structure 2011 Speaker Information Request,Publish,Photo Ready?,List on front page?,Gender,First Name,Last Name,Title,Company,Tagline,Order (front page),Order (speaker page),Type (default: speaker),Bio Ready?,Biography,timestamp,P Twitter,P Facebook,P LinkedIn
y,y,y,y,m,Anant,Agarwal,Co-Founder and CTO,Tilera,"Co-Founder and CTO, Tilera",,,speaker,y,"Anant Agarwal is a cofounder and CTO of Tilera Corporation, a professor of Electrical Engineering & Computer Science at MIT, and a member of the CSAIL Laboratory. His research group at CSAIL is developing an operating system called fos for cloud and multicore. He led the development of many technologies including Raw – an early tiled multicore processor, Sparcle – an early multithreaded microprocessor, and Alewife – a scalable multiprocessor. Agarwal won the Maurice Wilkes prize for computer architecture, and MIT’s Smullin and Jamieson prizes for teaching. He holds a Guinness Record for the largest microphone array and author of “Foundations of Analog and Digital Electronic Circuits.” Agarwal holds a Ph.D. from Stanford and a bachelor's from IIT Madras.",,,,http://www.linkedin.com/profile/view?id=46628580
y,y,y,y,f,Vanessa,Alvarez,Analyst,Forrester Research,"Analyst, Forrester Research",,,speaker,y,"Vanessa serves Infrastructure & Operations Professionals. She focuses on primary storage architectures & strategy, the evolution of these related to converged infrastructure & cloud computing scenarios and works with enterprises to navigate the complexity and enable strategic storage environments. Previously,Vanessa was an analyst with Frost & Sullivan, covering enterprise infrastructure. She helped clients understand how emerging technologies, operational.business models affect their IT environment, business processes, and organizational structure. Prior to this, Vanessa was an analyst with Yankee Group, where she provided insight on technology trends to key enterprise vendors and delivered recommendations. Vanessa is well respected in media and has appeared on Bloomberg TV. She is regularly quoted in the Wall Street Journal, Reuters, Bloomberg, Forbes and CNNMoney.",,@VanessaAlvarez1,,http://www.linkedin.com/pub/vanessa-alvarez/0/277/2b5
y,y,y,y,m,Sid,Anand,Software Architect,Netflix ,"Software Architect, Netflix",,,speaker,y,"Sid Anand is a technologist/software architect with deep experience designing and scaling high-traffic web sites. In 2007, he joined Netflix to help scale its core architecture. With Netflix's move to the cloud, he helped create Cloud-based systems to improve Netflix’s scalability, performance, and availability. As part of this effort, he helped to define Netflix's transition to cloud-based NoSQL storage from traditional relational databases. Prior to joining Netflix, he served as the VP of Engineering at Etsy, worked as a search engineer and researcher at eBay, and solved performance issues at Siebel Systems. He earned his B.S. and M.Eng degrees from Cornell University – his graduate work focused on distributed systems.",,@r39132 ,,http://www.linkedin.com/in/siddharthanand
y,y,y,y,m,Guido,Appenzeller,Co-Founder and CEO ,Big Switch Networks,"Co-Founder and CEO, Big Switch Networks",,,speaker,y,"Guido Appenzeller is the Co-Founder and CEO of Big Switch Networks. Before co-founding Big Switch Networks, he was a Consulting Professor at Stanford University and Head of the Clean Slate Lab where he managed the OpenFlow standards effort and led the team that developed the OpenFlow reference implementation. He was named a Technology Pioneer by the World Economic Forum and holds a PhD in Computer Science from Stanford University and a M.S. (Diplom) in Physics from Karlsruhe Institute of Technology.",,@openflownews,,http://www.linkedin.com/in/appenz
y,y,y,y,m,Shekar,Ayyar,"VP, Strategy and Corporate Development",VMware,"VP, Strategy and Corporate Development, VMware",,,speaker,y,"Shekar Ayyar is the VP of Strategy and Corporate Development at VMware, managing the company’s M&A and aligning strategy across businesses. Shekar has more than 10 years of senior management experience in the software industry. Previously, Shekar was SVP of Product Management at BindView, a public security software company that was acquired by Symantec. Prior to that, Shekar held senior roles at Instantis and Lucent technologies, spanning business development and products and was a consultant at McKinsey before that. Shekar received his Ph.D. in Electrical Engineering from Johns Hopkins, and his MBA from the Wharton school graduating as a Palmer Scholar. He is also an alumnus of the IIT, Mumbai (BSEE). ",,,,
y,y,y,y,m,Jonathan,Becher,Interim CMO,SAP,"Interim CMO, SAP",,,speaker,y,"As the interim Chief Marketing Officer of SAP, Jonathan Becher is responsible for the development, oversight, and execution of marketing strategy across the global organization. Jonathan reports to Bill McDermott, Co-CEO of SAP AG, and serves on his management team. Becher is a frequent speaker at industry events, an active member of the enterprise applications community, and author of multiple papers on a wide range of subjects, including a popular blog. Becher joined SAP from its 2007 acquisition of Pilot Software, where he was president and chief executive officer. Prior to leading Pilot Software, Becher was CEO and president of Accrue Software, and president, CEO and co-founder of NeoVista Software.",,@jbecher,,www.linkedin.com/in/jbecher
y,y,y,y,m,Val,Bercovici ,"Sr. Director, Office of the CTO",NetApp,"Sr. Director, Office of the CTO, NetApp",8,,speaker,y,"Val joined NetApp in 1998 and leads the Strategic Planning Team within the office of the CTO, focused on next-generation research projects responsible for NetApp’s product vision. Val introduced the first Cloud Standard to the industry as chairman of SNIA’s Cloud Storage Initiative, whose mission is to foster the growth and success of the cloud storage market. Previously, Val served as the vice-chair of SNIA’s Solid-State Storage Initiative. Val has over 25 years of IT industry experience spanning NCR (AT&T) and Cognos (IBM), with 12 years in storage at EMC and NetApp. Previously, he worked as a consultant to private industry and government. Val holds a bachelor of science degree in Computer Science from the University of Ottawa.",,@valb00,,http://ca.linkedin.com/in/valb00
y,y,y,y,m,Randy,Bias,Co-Founder and CTO,Cloudscaling ,"Co-Founder and CTO, Cloudscaling",,,speaker,y,"Randy's provocative views on the profound disruption caused by cloud computing have made him among the most influential voices in the industry. He uses this influence to advocate an open debate about which technologies will win in driving cloud to large-scale adoption. He has inspired organizations to embrace the disruption of cloud to succeed in a world where computing resources are ubiquitous, inexpensive, instantly scalable, and highly available. Randy was the technical visionary at GoGrid and built the world’s first multi-cloud, multi-platform cloud management framework at CloudScale Networks. He led the open-licensing of GoGrid's API, which inspired Sun, Rackspace, VMware and others to open-license theirs. Randy is among the most influential speakers and bloggers on the topic of cloud computing.",,@randybias,,http://www.linkedin.com/in/randybias
y,y,y,y,m,Dries,Buytaert ,Co-Founder and CTO,Acquia,"Co-Founder and CTO, Acquia",,,speaker,y,"Dries Buytaert is the original creator and project lead for the Drupal open source web publishing and collaboration platform. Buytaert serves as president of the Drupal Association, a non-profit organization formed to help Drupal flourish. He is also co-founder and chief technology officer of Acquia, a venture-backed software company that offers products and services for Drupal. Dries is also a co-founder of Mollom, a web service that helps you identify content quality and, more importantly, helps you stop website spam. A native of Belgium, Buytaert holds a PhD in computer science and engineering from Ghent University and a Licentiate Computer Science (MsC) from the University of Antwerp. ",,,,
y,y,y,y,m,Martin,Casado,CTO,Nicira Networks,"CTO, Nicira Networks",,,speaker,y,"Hi, I’m Martìn Casado and I'm not afraid to write my bio in the first person. I’m the founder and CTO of Nicira Networks, a startup in the network virtualization space. I also masquerade as a consulting professor at Stanford where I hang around the Clean Slate program. I received my PhD from Stanford during which my research lead to the creation of the SDN/OpenFlow effort. I’ve been very involved with its development and evangelism since. I think the next stage in human evolution is to build next generation networks. To that end, I believe networks should be programmable, I have a project-crush on Open vSwitch, and I think network virtualization is going to change the world.",,,,
