Date,Time,Title,Subtitle,Description,Speaker,Speaker Title,Speaker Company,Panelist,Panelist Title,Panelist Company
6/20/2012,,,,,,,,,,
,7:30 AM,REGISTRATION & BREAKFAST,,,,,,,,
,8:30 AM,OPENING REMARKS,,,Joe Weinman,SVP,Telx,Stacey Higginbotham,Senior Writer,GigaOM
,,,,,,,,Derrick Harris,Senior Writer,GigaOM
,,,,,,,,Om Malik,Founder and Senior Writer,GigaOM
,8:40 AM,Why CIOs are (finally) getting over cloud phobia,,"Joe Coyle, Capgemini’s CTO for North America, hears an awful lot about cloud computing — from customers who want to evaluate cloud solutions and vendors that want to win that business. Capgemini, a $12 billion global systems integrator, has relationships with all the major vendors and many enterprise customers. In this fireside chat we will talk to Joe about the current state of the market.",Barb Darrow,Senior Writer,GigaOM,Joseph Coyle,VP and CTO,Capgemini
,8:55 AM,A cloud without borders: international market perspectives,,"There are no international border controls in the business of cloud computing. Your customer here is as close as your customer in Asia. But this mondo cloud computing market also presents major challenges before the major rewards flow, such as payments, language and local business cultures. We talk to three major vendors from Chinese, British and German markets about their perspective on international cloud markets and what needs to be solved before the cloud truly flows into a global market.",Joe Weinman,SVP,Telx,Steve Collen,"VP of Product Marketing, IP Product Line",Huawei Technologies Co.
,,,,,,,,Tony Lucas,Founder,Flexiant
,,,,,,,,Juergen Urbanski,VP Cloud Architectures and Technologies,T-Systems
,9:30 AM,Inside the data center: It's all about the fabrics,,"Chips used to be the beating heart of every server, but now that servers host hundreds of VMs per chassis, the network inside the server is taking on an increasingly important role in the data center. Chip firms are investing in intra-server fabrics, and connectivity inside the server is increasingly viewed as the beachhead for software-defined networking. Whether its AMD's purchase of SeaMicro, Intel's recent buy of Cray's interconnect assets, or the recent announcements from SDN startups, the fabric fetish has moved from the network inside the box, with SDN close behind. We find out what's behind the shift and how it will play into the future of the data center.",Stacey Higginbotham,Senior Writer,GigaOM,Guido Appenzeller,Co-Founder and CEO ,Big Switch Networks
,,,,,,,,Barry Evans,CEO,Calxeda
,,,,,,,,Andrew Feldman,Corporate VP and GM of Data Center Server Solutions,AMD
,9:50 AM,The state of global infrastructure performance,,"In this unique presentation, Marty Kagan of Cedexis takes us through a global tour of infrastructure and its relative performance. We examine the numbers and see what the implications are for future global infrastructure needs and what opportunities exist to improve offerings.",,,,Marty Kagan,Co-Founder and CEO,Cedexis
,10:00 AM,BREAK,Sponsored by Aryaka,(Optional Workshops - Located on Level 2),,,,,,
,,10:15 AM - Intel Sponsor Workshop - Room 1,Intel IT’s Approach to an Open Private Cloud,"Cloud technologies are moving at a rapid pace.  The compelling drivers are the need for on-demand business solutions, lower cost for IT and the ability to deliver the rich experience that users need and expect.  Intel is bringing together a broad network of leading hardware and solution providers to build and enhance cloud solutions that are interoperable, multi-vendor and embrace standards.",,,,Billy Cox,"Director, Cloud Strategy",Intel Corporation
,,,,,,,,Das Kamhout,IT Cloud Lead,Intel Corporation
