Date,Time,Title,Subtitle,Description,Speaker,Speaker Title,Speaker Company,Panelist,Panelist Title,Panelist Company
6/19/2013,,,,,,,,,,
,7:30 AM,REGISTRATION & BREAKFAST,,,,,,,,
,8:25 AM,OPENING REMARKS,,,Joe Weinman,"SVP, Cloud Services and Strategy",Telx,Stacey Higginbotham,Senior Writer,GigaOM
,,,,,,,,Om Malik,Founder and Senior Writer,GigaOM
,8:30 AM,What we have is not good enough: connecting the numbers,,"A pioneer of cloud computing services and scalable architectures, Joyent CTO Jason Hoffman employed his skills as a pathologist and computer scientist to find a treatment for his mother’s cancer. In this talk he discusses how the infrastructure and technologies we have today are not good enough for what we’ll need in the future. ",,,,Jason Hoffman,CTO,Joyent
,8:45 AM,The composable enterprise,,"For the first time, we are entering an era where busi­ness and tech­nol­ogy oper­at­ing models have the opportunity to seam­lessly align to enable fast, flex­i­ble responses to rapidly chang­ing com­pet­i­tive landscapes. Viewing busi­ness func­tions and tech­nol­ogy as reconfigurable build­ing blocks will require a rad­i­cal depar­ture from the legacy IT infra­struc­tures and appli­ca­tion port­fo­lios found inside most orga­ni­za­tions today. This session explores the evolution in business model and tech­nol­ogy fab­rics required to deliver Enter­prise as a Ser­vice.",,,,Jonathan Murray,EVP and CTO,Warner Music Group
,9:05 AM,The future of data center servers and processors: the death of one-size-fits-all in the server world,,"The one-size-fits-all hardware era is over. The data center has reached an inflection point where infrastructure needs will be customized and tailored to meet specific workloads. This presentation will provide insights about how key technologies such as ARM, small-core x86, CPU+GPU computing and supercomputing fabrics will be major agents of this change.",,,,Andrew Feldman,GM and Corporate VP,AMD
,9:20 AM,Is this the year for Azure colored clouds?   ,,"Last year Satya Nadella, the president of Servers and Tools Business for Microsoft, proclaimed that Microsoft's cloud proposition would democratize the power of handling big data for smaller companies and challenged leading players to be more interoperable. A year later Microsoft is showing clear signs of success and challenging the early leaders in the cloud space with paced customer adoption. We'll explore how Microsoft sees Azure evolving in this space to change the options that enterprise and SMB buyers have in an enterprise-integrated cloud.",Om Malik,Founder and Senior Writer,GigaOM,Satya Nadella,"President, Server and Tools Business",Microsoft
,9:40 AM,What's keeping your CIO up at night?,,"As the core technologies that used to deliver enterprise IT change to the cloud, so do the problems that CIOs have to face. These include cloud infrastructure, big data demands, the internet of things and democratized IT and its chaotic sibling, BYOD (bring your own device). But this is just the tip of the iceberg. In this panel we assemble top CIOs for a frank and illuminating discussion about their worries and what they need next from enterprise IT vendors and technologists.",Barb Darrow,Senior Writer,GigaOM,Ben Haines,CIO,Pabst Brewing Co.
,,,,,,,,Ralph Loura,CIO,The Clorox Company
,10:00 AM,Sponsored session: the new rack at light speed,,"Recent industry announcements speak about the future of data centers where servers, networking and storage are disaggregated and connected by high-speed interconnects. With this flexible architecture, data centers will increasingly be managed as a system to permit dramatic breakthroughs in efficiency. In this session we look at the latest rack-scale innovation, new interconnect technology and next-generation SoCs that will redefine data center racks and what the impact will be on delivering performance and total cost of ownership.",Jason Waxman,"VP and GM, Cloud Platforms Group",Intel Corporation,Thomas Pfenning,GM,Microsoft
,,,,,,,,Zhang Lei,Director of the System Architecture Department,Alibaba Group
,10:15 AM,Cloud trailblazers: 10 for 2013,,"Jennifer Rexford, the Gordon Y. S. Wu Professor in Engineering at Princeton, talks about building a new programming language for software-defined networking.",,,,Jennifer Rexford,Professor,Princeton University
,10:20 AM,BREAK - SPONSORED BY: SCALE COMPUTING,,(Optional Workshops - Located on Level 2),,,,,,
,,10:35 AM - Netbis Sponsor Workshop - Conference Room 1,Analytics as a service powered by Intel hardware-enhanced software,"Learn how some of the leading cloud computing stacks can support the Intel® Distribution for Apache Hadoop optimized with Intel® Xeon processors, SSD, and 10GbE to help you analyze big data without compromising on security or performance.   ",,,,Vin Sharma,"Head of Product Marketing, Big Data Software",Intel
,,10:35 AM - Virtustream Sponsor Workshop - Conference Room 2,Mission possible: moving business-critical apps to the cloud,"Ben Kepes will moderate a Virtustream panel session addressing the key challenges enterprises face when moving mission-critical applications to the cloud. Attendees will hear best practices for achieving enterprise-grade security and compliance, assured application-level SLAs for performance and availability and multi-tenant efficiency from real customer case studies and examples.",Ben Kepes,"Industry Commentator, Diversity Limited and Analyst",GigaOM Research,Brian Gracely,"VP, Product Management",Virtustream
,,,,,,,,Rodney Rogers,Chairman and CEO,Virtustream
,,10:35 AM - Dell Sponsor Workshop - Conference Room 3,Dell: software-defined infrastructure for cloud and virtualized data centers,"Listen to Dell’s vision for the enterprise. Dell plans to share how it sees customers deploying servers, storage networking and BYOD in the next generation of enterprise architecture, which spans the data center, branch and cloud.",,,,Chandy Nilakantan,"Executive Director, Networking",Dell Inc.
,,,,,,,,Amit Sanyal,Director of Product Management and Technical Marketing,Dell Networking
,,10:35 AM - Aspera Sponsor Workshop - Conference Room 4,Infrastructure-agnostic transport technologies for universal big data storage and workflows,"With the right tools, file storage today can be in the cloud or on-premise, with seamless and secure access and publishing regardless of location. This session will explore how infrastructure-agnostic transport technologies are transforming the way all kinds of organizations access and use big data for ever-greater efficiencies and innovation.",,,,Jay Migliaccio ,Director of Cloud Platforms and Services,Aspera
,11:20 AM,Cloud trailblazers: 10 for 2013,,"Eric Frenkiel, the CEO of MemSQL, talks about how to build a better database without building a new database.",,,,Eric Frenkiel,CEO,MemSQL
