IMPORTANT: Structure 2011 Speaker Information Request,Publish,Photo Ready?,List on front page?,Gender,First Name,Last Name,Title,Company,Tagline,Order (front page),Order (speaker page),Type (default: speaker),Bio Ready?,Biography,Featured,Short Desc,timestamp,P Twitter,P Facebook,P LinkedIn,
y,y,y,y,m,David,Linthicum,"SVP, Cloud Technology Partners and Analyst",GigaOM Research,"SVP, Cloud Technology Partners and Analyst, GigaOM Research",,,Speaker,y,"Leading technology publications frequently name David S. Linthicum among the top 10 enterprise technologists in the world. He is a true thought leader in the industry, and an expert in complex distributed systems, including cloud computing, data integration, service oriented architecture (SOA), and big data systems. As the author of over 13 books on computing with over 3,000 published articles, as well as radio and TV appearances as a computing expert, he is often quoted in major business and technology publications. In addition, David is a frequent keynote presenter at industry conferences, with over 500 presentations given in the last 20 years.",,,,@DavidLinthicum,,http://www.linkedin.com/in/davidlinthicum/,
y,y,y,y,f,Paula,Long,Co-Founder and CEO,DataGravity,"Co-Founder and CEO, DataGravity",,,Speaker,y,"Paula is the CEO and co-founder of DataGravity. She previously co-founded storage provider EqualLogic. Paula served as Vice President of Product Development at Heartland Robotics. Prior to Heartland Paula was Co-Founder and EVP of Products and Strategy at EqualLogic which was acquired by Dell for $1.4 billion in 2008. Paula remained at Dell as VP of Storage, focused on the EqualLogic product line until January of 2010. She has held numerous technical leadership positions at a variety of technology companies. She is active in the startup community. Paula has won multiple awards for Entrepreneurship, including New Hampshire High Tech Council Entrepreneur of the year award, the Ernst & Young’s 2008 Northeast Regional “Entrepreneur of the Year” and a National Finalist for the same award.",y,,,@datagravityinc,https://www.facebook.com/DataGravity,http://www.linkedin.com/company/datagravity,
y,y,y,y,m,Ralph,Loura,CIO,The Clorox Company,"CIO,The Clorox Company",,,Speaker,y,"Ralph Loura is CIO of The Clorox Company, a leading manufacturer of consumer products. In this role, Mr. Loura leads Clorox’ IT organization and directs the company’s strategic technology initiatives in support of Clorox’ goal of making everyday life better, every day. Prior to joining Clorox, Mr. Loura was SVP, IT at Medicis, a specialty pharmaceutical company, and CIO for Symbol Technologies a leader in the area of mobile data capture and delivery. Mr. Loura received a master’s degree in computer science from Northwestern University and a bachelor’s in computer science-mathematics from Saint Joseph's College. Mr. Loura serves on several customer advisory boards, and is involved in furthering the practice of Technology Leadership through a number of CIO councils and peer-based organizations.",y,,,@ralphloura,,http://www.linkedin.com/in/ralphloura,
y,y,y,y,f,Jo,Maitland,Research Director,GigaOM Research,"Research Director, GigaOM Research",,,Speaker,y,"Jo Maitland is Research Director for the Infrastructure/Cloud channel at GigaOM Pro. Jo has been a technology journalist and analyst for 15+ years specializing in enterprise IT trends, specifically infrastructure virtualization, storage and cloud computing. At Forrester Research and The 451 Group, Jo covered cloud-based storage and archiving and the challenges of long term digital preservation. At TechTarget Jo was Executive Editor of several websites covering virtualization and cloud computing. She managed a team of reporters and editors and wrote news, features and columns for those sites which became leading information resources under her guidance. Jo has spoken at several major industry events including NetWorld + Interop and VMworld on virtualization and cloud computing trends. She has a BA (Hons) in Journalism from the University of Creative Arts in the UK. In her spare time Jo enjoys adventures in new places, extreme sports, writing screenplays and watching movies.",,,,@JoMaitlandSF,,,
y,y,y,y,m,Om,Malik,Founder and Senior Writer,GigaOM,"Founder and Senior Writer, GigaOM",,,Speaker,y,"Om Malik has more than 15 years of experience as a journalist covering technology and business news. He was part of the founding team of Forbes.com as a Senior Editor. He then went on to become a senior writer at Red Herring during its glory days before joining Business 2.0 in March 2003, covering telecom, innovation and broadband stories. His contributions have been published in The Wall Street Journal, The Economist and MIT Technology Review. Additionally, Om is the author of “Broadbandits: Inside the $750 Billion Telecom Heist.” He is also the recipient of many industry awards, including Excellence in Journalism from the Society of Professional Journalists in 2001 and the Gold Award from American Society of Business Publication Editors in 2001.",,,,,,,
y,y,y,y,m,Dave,McCrory,SVP,Warner Music Group,"SVP, Warner Music Group",3,,Speaker,y,"Dave McCrory is the Senior Vice President of Engineering for Warner Music Group, where he is building a next generation enterprise PaaS. Dave has coined the term ""Data Gravity"", which he recognized through extensive research over the past several years. He has presented at many conferences, including Cloud Connect, Gluecon, Interop Big Data, VMworld US/Europe, RubyConf, and RailsConf. Dave is also co-author of the book titled ""Advanced Server Virtualization"", and holds 9 granted Patents. He also co-founded 2 startups, Surgient Inc. and Hyper9, where he was Chief Scientist/CTO.",y,,,@mccrory,http://facebook.com/mccrory,http://linkedin.com/davemccrory,
y,y,y,y,m,Paul,Miller,"Founder, Cloud of Data and Analyst",GigaOM Research,"Founder, Cloud of Data and Analyst, GigaOM Research",,,Speaker,y,"Paul is an analyst and consultant, based in the Yorkshire (UK) market town of Beverley, but working with clients world-wide. He mainly helps them understand the opportunities (and pitfalls) around cloud computing, big data, and open data, but also podcasts and writes for technology sites such as GigaOM Pro and SemanticWeb.com. His background includes public policy and standards work, several years in management at a UK software company... and a Ph.D in Archaeology.",,,,"@paulmiller
",http://www.facebook.com/profile.php?id=610521030,http://www.linkedin.com/in/pau1mi11er,
y,y,y,y,m,Bob,Muglia,"EVP, Software Solutions Division",Juniper Networks,"EVP, Software Solutions Division, Juniper",8,,Speaker,y,"Bob Muglia is the Executive Vice President of the Software Solutions Division, where he oversees the company's end-to-end software strategy. As head of Juniper’s Software Solutions Division, Bob brings a centralized vision to the company’s software efforts enabling Juniper to sharpen its focus on software as a core engine of growth for the company. Before joining Juniper in 2011, Bob served in leadership positions across all of Microsoft's business groups, including Developer, Office, Mobile Devices, Windows NT and Online Services. Most recently, he served as president of Microsoft's $15 billion Server and Tools Business (STB), where he was responsible for infrastructure software, developer tools and cloud platforms, including products such as Windows Server, SQL Server, Visual Studio, System Center and the Windows Azure Platform.",y,,,,,,
y,y,y,y,m,Jonathan,Murray,EVP and CTO,Warner Music Group,"EVP and CTO, Warner Music Group",,,Speaker,y,"Jonathan is EVP & Chief Technology Officer at Warner Music Group where he is responsible for the company’s global technology strategy, end-to-end IT Service delivery and the design and delivery of a new – cloud based - Digital Services Platform. Jonathan joined Warner Music Group from Innovia Ventures where he was a founding partner and prior to that spent sixteen years in various executive roles with Microsoft. Jonathan is a published research fellow with the Berkeley Roundtable on the International Economy at the University of California, Berkeley. He is a regular speaker on issues related to cloud computing and was recently recognized by cloudave.com as one of the leading cloud-computing visionaries of 2012 . He blogs occasionally at adamalthus.com",y,,,@adamalthus,,http://www.linkedin.com/in/adamalthus,
y,y,y,y,m,David,Mytton,Founder,Server Density ,"Founder, Server Density",,,Speaker,y,"David Mytton is the founder of Server Density, a SaaS tool which helps you provision and monitor your infrastructure. Based in the UK, David has been programming in Python and PHP for over 10 years, was one of the earliest production MongoDB users (founding the London MongoDB User Group), co-founded the Open Rights Group and can often be found cycling in London or drinking tea in Japan.",,,,@davidmytton,,http://uk.linkedin.com/in/davidmytton,
y,y,y,y,m,Satya ,Nadella,"President, Server and Tools Business",Microsoft,"President, Server and Tools Business, Microsoft",,,Speaker,y,"Satya Nadella is president of Microsoft’s Server and Tools Business (STB), a $19 billion division that builds and runs the company’s computing platforms, developer tools and cloud services. Nadella and his team deliver the “Cloud OS,” a rich, consistent platform that spans private, public, and service cloud providers. Today, businesses everywhere depend on the products that make up the Cloud OS; including Windows Server, SQL Server, Visual Studio, System Center and Windows Azure. Nadella joined Microsoft in 1992. Prior to that Nadella was a member of the technology staff at Sun Microsystems.  Hailing from Hyderabad, Nadella has a bachelor's degree in Electrical Engineering from Mangalore University, a master's degree in computer science from the University of Wisconsin and an MBA from the University of Chicago. ",y,,,@microsoft,,,
y,y,y,y,m,Dean ,Nelson,"VP, Global Foundation Services",eBay,"VP, Global Foundation Services, eBay",,,Speaker,y,"Nelson is Vice President, Global Foundation Services for eBay Inc, the world’s largest online marketplace. He is responsible for Strategy, Architecture and Operational functions of eBay's Mission Critical Data Centers, Networking and Security Infrastructure Services and Global Supply Chain. Nelson is also a core member of the eBay Green Team. He has been in the high tech industry for 22 years in technical roles ranging from Manufacturing, Engineering, Quality, IT, Real Estate and Mission Critical Operations. Nelson spent 17 years at Sun Microsystems where his final position was Sr. Director of Global Lab & Datacenter Design Services responsible for managing Sun’s multi-billion dollar global technical infrastructure portfolio. Nelson is a member of The Green Grid End User Advisory Council, Technical Advisory Board for Mission Critical Magazine, Founder of Data Center Pulse (an exclusive datacenter owner community), author of the Sun Microsystems Blueprint series “Energy Efficient Datacenters”, featured as a Sun Microsystems Contrarian Mind, and was identified by SearchDatacenter.com as one of the top five people who changed the data center. He is also the recipient of Sun’s prestigious Innovation Award. Nelson is also an avid blogger through his Geekism blog.",,,,@dudenelson,,,
y,y,y,y,m,Jordan,Novet,Staff Writer,GigaOM,"Staff Writer, GigaOM",,,Speaker,y,"Jordan covers cloud computing and is based in San Francisco. He has written for newspapers and magazines in New York, Mississippi and Oregon, most recently at The Bulletin newspaper in Bend, Ore. He studied magazine journalism at the University of Missouri.",,,,,,,
y,y,y,y,m,Stephen,O'Grady,Partner and Principal Analyst,RedMonk,"Partner and Principal Analyst, RedMonk",,,Speaker,y,"Stephen is a Principal Analyst and co-founder of RedMonk, the open source industry analyst firm. He focuses on infrastructure software such as programming languages, operating systems and databases, as well as covering horizontal industry trends such as open source and cloud computing. Before setting up RedMonk, Stephen worked as an analyst at Illuminata by drawing on his real world expertise in architecting and developing applications for leading systems integrators. Prior to joining Illuminata, Stephen served in various senior capacities with large systems integration firms like Keane and boutique consultancies like Blue Hammock. Regularly cited in publications such as the New York Times, BusinessWeek, the Boston Globe, and the Wall Street Journal, and a popular speaker and moderator on the conference circuit, Stephen's advice and opinion is well respected throughout the industry.",,,,@sogrady,,www.linkedin.com/in/sogrady,
y,y,y,y,m,Jim,O'Neill,"CIO
",HubSpot,"CIO, HubSpot",,,Speaker,y,"Prior to joining HubSpot, Jim was CTO and president of Pyramid Digital Solutions, an enterprise software company, where he managed organizational optimization, product development, and technical sales generation. He helped double revenue in less than two years before selling the business to SunGard in 2005. Afterward, Jim stayed on as SVP and CTO to help create and implement a technology strategy for a new enterprise services architecture.Throughout his career, Jim has focused on product development for web enterprise applications and on creating new platforms for existing business to generate increased revenue. For the last eight years, he has served in SVP/CTO positions for product lines ranging from $6 million in revenue to $100+ million in revenue. Jim holds a BSEE from Worcester Polytechnic Institute.",,,,@jajoneill,http://www.facebook.com/jim.oneill,www.linkedin.com/in/jajoneill/,
y,y,y,y,m,Dave,Ohara,"Founder, GreenM3 and Analyst",GigaOM Research,"Founder, GreenM3 and Analyst, GigaOM Research",,,Speaker,y,"Dave Ohara has spent his employment career at HP, Apple, and Microsoft working in manufacturing, distribution, purchasing, hardware and software product development, marketing and evangelism. Seven years ago Dave took the journey into data centers, cloud, and big data as an independent to have more freedom to explore innovation beyond typical boundaries. Days are now spent working on new services, consulting, researching, and blogging to explore new areas. A recent topic is Data Center Capacity Planning which require an internal and external situation awareness to plan for the expected and unexpected.",,,,@greenm3,,www.linkedin.com/pub/dave-ohara/0/648/25,
y,y,y,y,m,Chandra,Pandey,"VP, Platform Solutions",BTI Systems,"VP, Platform Solutions, BTI Systems",,,Speaker,y,"Chandra Pandey is an accomplished networking industry leader with nearly 20 years of experience designing ASICs, carrier grade systems, and network architectures and solutions. Chandra joined BTI from Juniper Networks where he led the global Solutions Engineering and Architecture team working with service providers, large enterprise and data center customers, in addition to OEM partners. Chandra has extensive management experience with Ciena/IPI, Ascend/Lucent, 3Com/US Robotics, and IBM. Chandra holds a BS in Electronics Engineering from K.N.I.T, Sultanpur, India; an MBA in High Tech and Finance from Northeastern University and Executive Leadership training from Cornell University.",y,,,,,http://www.linkedin.com/in/chandrashekharpandey,
y,y,y,y,m,Jay,Parikh,"VP, Infrastructure Engineering",Facebook,"VP, Infrastructure Engineering, Facebook",,,Speaker,y,"Jay Parikh is the VP of infrastructure engineering at Facebook. In that role, he leads the infrastructure engineering and operations teams responsible for building and maintaining an infrastructure that serves nearly a billion users, developers, and partners worldwide. Prior to Facebook, Jay was senior vice president of engineering and operations at Ning, where he oversaw the scaling of the company’s social networking platform from 50,000 social networks to more than 1.5 million social networks. Before Ning, Jay was the vice president of engineering at Akamai Technologies, where he helped build the world’s largest and most globally distributed computing platform. ",y,"Is the VP of infrastructure engineering at Facebook, is Jay creating a better infrastructure for the web's future?",,,https://www.facebook.com/jayp,,
y,y,y,y,m,Raj,Patel,"VP, Cloud Services",Cisco Systems,"VP, Cloud Services, Cisco Systems",,,Speaker,y,"Raj Patel is the Vice President of Cloud Services responsible for production operations of Cisco’s Collaboration Cloud supporting SaaS offerings such as Webex Conferencing, Social, IM/Presence globally. Additionally, Raj is responsible for software development for Webex and is developing a robust delivery platform and foundational cloud technologies in a DevOps approach. Prior to Cisco, Raj held various leadership roles at Yahoo! Including VP of Infrastructure and Operations Strategy where he was responsible for architecture, strategy, and operations for Yahoo's production and corporate technology infrastructure. Under his direction, Yahoo!’s infrastructure scaled to support hundreds of millions of users. He was also instrumental in defining Yahoo!’s data center and CDN strategies. In his spare time Raj enjoys spending time with his family and pretends to play golf. ",,,,@rmpatel1      ,,http://www.linkedin.com/in/rajpatel1,
y,y,y,y,m,Lane,Patterson,CTO,Equinix,"CTO, Equinix",,,Speaker,y,"After serving in many roles in telecom and Internet companies, Lane Patterson joined Equinix in 2000 and is currently our Chief Technology Officer. Prior to joining Equinix, Mr. Patterson was Director of IP Network Management Systems for Global Crossing, Inc. where he supported a global IP backbone and first generation content distribution centers. At MFS, he managed the MAE-East Internet exchange point during the first wave of commercial ISP growth. Mr. Patterson has a deep background in the technologies related to telecommunications, Internet routing, and data center computing infrastructure. Mr. Patterson received a B.A. in Physics from Cornell University and an M.S. in Computer Science from Johns Hopkins University.",,,,@LaneGPatterson,,,
y,y,y,y,m,Thomas,Pfenning,GM,Microsoft,"GM, Microsoft",,,Speaker,y,"Thomas Pfenning is the General Manager and Development Director for Windows Server. He manages the software engineering teams responsible for building the Windows Server operating system. In the 17 years leading up to his current role, Thomas worked on the MSN dialup access network, Windows Networking, Mobile Information Server, WMI, Microsoft Sync Framework and the File Server and Storage components in Windows Server. Before joining Microsoft in 1995 Thomas worked as a researcher in computer science with positions at the Nuclear Research Center in Juelich, the University of Bielefeld, and the University of Cologne in Germany. He has a master's degree in Theoretical Physics and a PhD in Computer Science, both from the University of Cologne.",,,,,,,
y,y,y,y,m,Matthew,Prince,Co-Founder and CEO,CloudFlare,"Co-Founder and CEO, CloudFlare",,,Speaker,y,"Matthew Prince is the co-founder and CEO of CloudFlare, the web performance and security company. He earned a degree in English and Computer Science from Trinity College, a JD from the University of Chicago, and a MBA from Harvard Business School where he was a Baker Scholar and winner of the Dubliner Prize for Entrepreneurship. CloudFlare was selected by the Wall Street Journal as the Most Innovative Internet Technology Company of 2011 and 2012, and named a 2012 Technology Pioneer by the World Economic Forum. CloudFlare accelerates and protected more than 110 billion page views for more than 700 million unique visitors every month.",y,,,@eastdakota,https://www.facebook.com/mprince,http://www.linkedin.com/profile/view?id=9171&locale=en_US&trk=tyah,
y,y,y,y,m,Kash,Rangan,Senior Analyst,BofA Merrill Lynch,"Senior Analyst, BofA Merrill Lynch",,,Speaker,y,"Kash works at BofA Merrill Lynch in San Francisco as Senior Analyst covering the Software sector, including companies such as Microsoft, Oracle, SAP, Vmware, Salesforce.com, RedHat, Symantec and Intuit. Kash and his team have developed early views on important Technology trends that have defined our times such as Stack Wars/Consolidation, Cloud Computing, Big Data and HTML5. These views have gone from fringe to consensus. Kash tries to identify long-term winners early using a thematic focus coupled with fundamental research. Kash has worked on several IPOs over the course of his nineteen years in San Francisco – Salesforce.com, Vmware, Splunk, Concur, Rackspace and JD Edwards to name a few. Kash is a ranked analyst in Institutional Investor’s All-America Research Team for Software and Greenwich Associates.",,,,,,,
y,y,y,y,f,Jennifer ,Rexford,Professor,Princeton University,"Professor, Princeton University",,,Speaker,y,"Jennifer Rexford is the Gordon Y. S. Wu Professor of Engineering in the Computer Science department at Princeton University.  Previously she worked at AT&T Labs--Research, where she designed tools and techniques for traffic engineering, router configuration, and network monitoring.  Jennifer's research on software-defined networking includes the Frenetic language and run-time system (http://www.frenetic-lang.org/) and early work on the Routing Control Platform (deployed in AT&T's backbone network) and the 4D architecture.  She is the co-author of the book ""Web Protocols and Practice,"" published by Addison-Wesley in 2001.  Jennifer was the 2004 winner of ACM's Grace Murray Hopper Award for outstanding young computer professional, and was listed on MIT Technology Review's 2004 TR-100 list of the top 100 innovators under the age of 35.",,,,@jrexnet,https://www.facebook.com/jrexford,http://www.linkedin.com/profile/view?id=570490,
y,y,y,y,m,JR,Rivers,Co-Founder and CEO,Cumulus Networks,"Co-Founder and CEO, Cumulus Networks",,,Speaker,y,"JR is the co-founder and CEO of Cumulus Networks where he is responsible for the overall strategic direction of the company. JR has been involved with networking since Ethernet only ran on coaxial cables. He's worked on some of the most foundational networking products of their time, from early Network Interface Cards at 3Com through switching and routing products at Cisco. JR's early involvement in home-grown networking at Google and as the VP of System Architecture for Cisco's Unified Computing System both helped fine tuned his perspective on networking for the modern datacenter.",,,,@JRCumulus,https://www.facebook.com/CumulusNetworks,http://www.linkedin.com/pub/jr-rivers/3/3b7/372,
y,y,y,y,m,Luis,Robles,Partner,Sequoia Capital,"Partner, Sequoia Capital",,,Speaker,y,"Luis Robles focuses on cloud computing investments and leads our big data efforts. He is a Director of 10gen. Prior to joining Sequoia Capital in 2010, he was an early software engineer and a Senior Product Manager at VMware where he helped build out various product lines that grew into $100M+ businesses for the company. Luis has B.S. and M.S. degrees in Computer Science from Stanford University and an M.B.A. from Harvard Business School.",,,,,,http://www.linkedin.com/in/lrobles/,
y,y,y,y,m,Ralf,Rottmann,CTO,grandcentrix GmbH,"CTO, grandcentrix GmbH",,,Speaker,y,"Ralf is a serial entrepreneur who sold his last company to Alcatel-Lucent and now serves as the CTO at grandcentrix, the largest iOS and Android studio in the German-speaking area. He focuses on large scale web architectures for real-time applications and his company recently build the backend for the official Eurovision Song Contest mobile application. The Eurovision Song Contest is the second largest TV evnet on the planet. Ralf advises businesses, individuals and organizations on how to develop and execute a mobile strategy, use social media and social networks to build relationships. In 2010, Germany’s renowned WirtschaftsWoche put Ralf on its List of Best Known Serial Entrepreneurs and he has been added to the List of the World’s Top 100 iOS iPhone Programmers.",,,,@ralf,https://www.facebook.com/ralfrottmann,http://www.linkedin.com/in/rottmann,
y,y,y,y,m,Paul,Santinelli ,General Partner,North Bridge Venture Partners,"General Partner, North Bridge Venture Partners",,,Speaker,y,"Paul Santinelli is a partner at North Bridge. He invests in open source, software, security, Internet applications and infrastructure & communications companies. Prior to North Bridge, Santinelli was a director responsible for product definition, strategy, engineering, product management, marketing and lifecycle management for Red Hat Network’s flagship software services offering. Previously, Santinelli founded and was CEO of NOCpulse, a next-generation enterprise systems management platform (acquired by Red Hat). Before NOCpulse, Santinelli was CTO of Global Center and Vice President of technology for Global Crossing, the first independent global fiber optic network. Before North Bridge, Paul served on the advisory boards of Arrowpoint Communications (acquired by Cisco), Inflow, Kiva Software (acquired by Netscape), Mobility.net (acquired by Software.com) and One Secure (acquired by Netscreen).",,,,@North_Bridge,,http://www.linkedin.com/pub/paul-santinelli/0/810/574,
y,y,y,y,m,Sam,Schillace,VP of Engineering,Box,"VP of Engineering, Box",,,Speaker,y,"Sam Schillace is the VP of Engineering at Box, where he is responsible for the engineering and QA teams. Prior to joining Box, Sam spent several years at Google where he was an Engineering Director of Gmail, Google Docs, Google Calendar, Google Groups, Google Reader, Blogger and Picasa. In that role, he managed a global team of 600 engineers. Sam also served as a principal and EIR at Google Ventures. Sam co-founded Writely which he sold to Google in 2006 to form the core of Google Docs. Earlier in his career, Sam was a serial entrepreneur and programmer who developed video games, word processors, early Web authoring software, and application engines.Sam received Bachelor's and Master's degrees in Mathematics from the University of Michigan.",y,,,@sschillace,,,
y,y,y,y,m,Kevin,Scott,SVP Engineering, LinkedIn,"SVP Engineering, LinkedIn",,,Speaker,y,"Kevin Scott is responsible for software engineering at LinkedIn. His 20-year career in technology spans both academia and industry as researcher, engineer, and leader. Prior to joining LinkedIn, Kevin oversaw mobile ads engineering at Google, including the integration of Google's $750 million acquisition of AdMob. Prior to its acquisition by Google, Kevin was responsible for engineering and operations at AdMob. He is the recipient of a Google Founder's Award, an Intel Ph.D. Fellowship, and an ACM Recognition of Service award. Kevin was a founding member of the ACM Professions Board and sits on the technical advisory boards for several startups. Kevin is the co-inventor on a number of pending and issued patents, and is the author or co-author of several peer reviewed scholarly publications.",y,,,@kevin_scott,,http://www.linkedin.com/in/jkevinscott,
y,y,y,y,m,Keith,Shinn,VP,Fidelity,"VP, Fidelity",,,Speaker,y,"Keith Shinn is vice president, Distributed Hosting for Fidelity Technology Group (FTG), a division of Fidelity Investments, the largest mutual fund company in the United States, the No. 1 provider of workplace retirement savings plans and a leading online brokerage firm. Mr. Shinn joined Fidelity in Nov 1987 and is currently responsible for Enterprise Infrastructure and “Click2Compute” the Cloud services offering for Fidelity IT departments. Mr. Shinn has over 25 years of experience in the IT and has held leadership roles at First Data Corporation, Neiman Marcus and RepublicBank. He began his technology career in 1981 with RepublicBank.",y,,,"@kshinnbone      
",,www.linkedin.com/pub/keith-shinn/1/68b/bb,
y,y,y,y,m,Bipul ,Sinha,Partner,Lightspeed Venture Partners,"Partner, Lightspeed Venture Partners",,,Speaker,y,"Bipul Sinha is a Partner at Lightspeed and focuses primarily on software, mobile, and Internet sectors with a particular interest in cloud services/infrastructure and social utilities/apps. His current investments include Nutanix, PernixData, Bromium, and Peel. His past investments include Pulse (LinkedIn) and LiveProfile (RIM). Previously, Bipul worked at Blumberg Capital where he led investments in data center software infrastructure and Internet sectors. His selected investments include Nutanix, Hootsuite, and DoubleVerify. Prior to that, Bipul was with Banc of America Technology Investment Banking Group where he worked on M&A and equity financing transactions and a Director of database and middleware products at Oracle. Bipul also held sales and engineering positions at American Megatrends and IBM.",,,,@bipulsinha,,http://www.linkedin.com/in/bipulsinha,
y,y,y,y,m,Duke,Skarda,CTO,SoftLayer,"CTO, SoftLayer",1,,Speaker,y,"Duke Skarda joined SoftLayer in November 2010. As the CTO, he holds responsibilities for implementing, designing and enhancing the proprietary SoftLayer Infrastructure Management System (IMS). Prior to joining SoftLayer, Mr. Skarda served as the Vice President of Information Technology and Software Development at The Planet. He served in this role from June 2009 to October 2010. Previously, Mr. Skarda spent 10 years with Level 3 Communications in a series of increasingly responsible positions. Mr. Skarda earned a B.S. in Computer Engineering and Electrical Engineering from The University of Texas at El Paso.",y,,,@SoftLayer,,,
y,y,y,y,m,Michael,Skok,General Partner, North Bridge Venture Partners,"General Partner, North Bridge Venture Partners",,,Speaker,y,"Michael Skok joined North Bridge Venture Partners in 2002 to seek out great entrepreneurs and lead innovative software investments. Prior to this, Michael had himself been an entrepreneur and CEO in the software business for 21 years. He founded, led and attracted over $100M in private equity to his investments in several successful software companies. As a VC, Michael has built several hundred million dollars of value backing many great entrepreneurs to focus on large market changing technologies and disruptive business models such as SaaS, Cloud Computing, Open Source and Mobile. Current representative investments include Acquia, Apperian, Demandware(NYSE:DWRE), and Unidesk, as well as Actifio and Revolution Analytics. He can be contacted at mjskok@northbridge.com, twitter:@mjskok and website www.mjskok.com",,,,@mjskok,,http://www.linkedin.com/in/mjskok,
y,y,y,y,m,Sebastian,Stadil,CEO,Scalr,"CEO, Scalr",,,Speaker,y,"Sebastian Stadil is a seasoned entrepreneur based out of San Francisco. He founded Silicon Valley’s Cloud Computing Group and contributes to journals such as InfoQ, Conversations Network, Internet Evolution, and Silicon Angle. His work has been featured in Wired Enterprise, TechCrunch, The Register, Businessweek, GigaOM, and Network World. Mr. Stadil is Chairman of the Board at Scalr, which produces simple, powerful cloud management software.",,,,@scalr,http://www.facebook.com/scalr,,
y,y,y,y,f,Cynthia,Stoddard,SVP and CIO,NetApp,"SVP and CIO, NetApp",,,Speaker,y,"Cynthia has over 25 years of business experience and IT expertise leading large global organizations in supply chain, retail, and technology companies. As the senior vice president and chief information officer (CIO), she is responsible for providing a long-term technology vision that supports and is aligned with the company’s strategies and goals, business plans, operating requirements, and overall efficiencies. She provides leadership to the Global IT organization to enable delivery of worldwide business solutions and infrastructure that support the company's growth. Additionally, she acts as the primary advocate of NetApp to external markets to promote further awareness of the NetApp on NetApp initiative. Cynthia holds a Bachelor of Science degree in accounting from Western New England University and an MBA from Marylhurst University.",y,,,@StoddardCA,,http://www.linkedin.com/pub/cynthia-cindy-stoddard/0/6b6/537,
y,y,y,y,m,James,Tamplin,Co-Founder and CEO,Firebase,"Co-Founder and CEO, Firebase",,,Speaker,y,"James is the Co-Founder and CEO of Firebase. He holds a bachelor's and a master's degree in Industrial and Systems Engineering from the University of Wisconsin and is an alumni of Y-Combinator. Firebase is his third startup, it was preceded by one epic failure (Keep Security: biometric security for smartphones) and one exit (SendMeHome: blogs for physical objects).",,,,@JamesTamplin,,http://www.linkedin.com/in/jamest,
y,y,y,y,m,Ariel,Tseitlin,"Director, Cloud Solutions",Netflix,"Director, Cloud Solutions, Netflix",,,Speaker,y,"Ariel Tseitlin manages the Netflix Cloud and is interested in all things cloudy. At Netflix, he is Director of Cloud Solutions, helping Netflix be successful in the Cloud, including cloud tooling, monitoring, performance and scalability, and cloud operations and reliability engineering. Ariel's team builds Asgard and the Simian Army, including the Chaos Monkey. Prior to Netflix, Ariel was VP of Technology and Products at Sungevity and before that was the Founder & CEO of CTOWorks.",y,,,@atseitlin,,http://www.linkedin.com/in/atseitlin,
y,y,y,y,f,Pascale,Vicat-Blanc ,Founder and CEO,Lyatiss,"Founder and CEO, Lyatiss",,,Speaker,y,"Pascale Vicat-Blanc is founder and CEO of Lyatiss and brings more than 20 years of experience in networking and cloud computing technologies. Before founding Lyatiss, Vicat-Blanc was research director at INRIA (French National Institute for Research in Computer Science). Prior to this, she had a number of leadership roles including CIO of a Grid 5000 Data Center, team leader at INRIA-Bell Labs and project manager with CERN (European Organization for Nuclear Research). Pascale earned a MS and a PhD in Computer Science from the University of Lyon.",y,,,@lyatiss,,http://fr.linkedin.com/in/pascalevicatblanc,
y,y,y,y,m,Werner,Vogels,CTO,Amazon.com,"CTO, Amazon.com",4,,Speaker,y,"Dr. Vogels is Vice President & CTO at Amazon.com where he is responsible for driving the company's technology vision, which is to continuously enhance innovation on behalf of Amazon's global customers. Prior to joining Amazon, he worked as a researcher at Cornell University where he led several research projects that targeted the scalability and robustness of mission-critical enterprise computing systems. He has held positions of VP of Technology and CTO in companies that handled the transition of academic technology into industry. Vogels holds a Ph.D. from the Vrije Universiteit in Amsterdam and has authored many articles, most of them on distributed systems technologies for enterprise computing. He was named the 2008 CTO of the Year by Information Week for his contributions to Cloud Computing.",y,"Dr. Vogels is Vice President & CTO at Amazon.com where he is responsible for driving the company's technology vision. If ever there was the ""cloudfather"" this man is pretty close to it. See how the leading public cloud provider will be shaping the new ways forward.",,@werner,,,
y,y,y,y,m,Rafal,Waligora,"Manager, Network Engineering",Twitter,"Manager, Network Engineering, Twitter",,,Speaker,y,"As manager of engineering at Twitter, Rafal oversees network automation and architecture of a network infrastructure servicing Twitter’s customers around the globe. Prior to joining Twitter, Rafal was a Sr. Staff Engineer at Walmart.com and Wal-mart Global e-commerce where he was responsible for all aspects of Wal-mart’s e-commerce network architecture, implementation and operation. Earlier in his career Rafal held network engineering positions in the telecom, internet service provider and hosting industries at companies such as Savvis, Cable & Wireless, Digital Island Inc. and Shaw Cable Group. Rafal holds a BSc in Applied Computer Science from Ryerson University in Toronto, Canada. ",,,,@freakoverlord,,http://www.linkedin.com/in/rafalwaligora/,
