Publish?,Logo Ready?,Slug,Name,Order,Tagline,Type,URL,Description,Media Partner URL
,,,,,,,,,http://event.gigaom.com/mobilize/sponsors/media-partners/
yes,yes,blackberry,BlackBerry,,,headline,http://www.blackberry.com,,
yes,yes,magnify,Magnify Communications,,,partners,http://www.magnifycommunications.com/,,
yes,yes,cicc,California Israel Chamber of Commerce (CICC),1,,mediapartner,http://www.ca-israelchamber.org,"is a not-for-profit, membership-supported organization dedicated to strengthening business and trade relations between California and Israel. With its wide and dynamic network of over 10,000 companies, business executives and investors, CICC is positioned to serve as a facilitator and active supporter for joint venture programs between the two communities. Through networking events, mentorship programs, investment forums and educational seminars, CICC contributes to a stronger business and commercial alliance between California and Israel.  For more information, visit www.ca-israelchamber.org",
yes,yes,cloudtimes,CloudTimes,2,,mediapartner,http://cloudtimes.org,,
yes,yes,magicsauce,MagicSauce Media,3,,mediapartner,http://www.magicsaucemedia.com,,
yes,yes,mm,Mobile Monday,4,,mediapartner,http://www.mobilemonday.net/category/silicon-valley,,
yes,yes,parisoma1,pariSoma,5,,mediapartner,http://www.pariSoma.com,"is a collaborative place for coworking and events in the SoMa district of San Francisco. We host events for entrepreneurs, startups and independent professionals while providing an innovative coworking space through which we seek to promote the growth of collective intelligence and innovation.",
yes,yes,techcentralsf,TechCentralSF,6,,mediapartner,http://www.techcentralsf.com/,"- San Francisco’s exclusive online directory resource and collaborative community for High Tech, Biotech, and Cleantech with over 1,000 start-up companies and established innovators making breakthroughs across San Francisco. TechCentralSF is a B2B exchange to support entrepreneurs, startups & the SF tech ecosystem. Collaborate and find extraordinary business opportunities for “All Things Tech in SF”!",
yes,yes,tie,TiE,7,,mediapartner,http://www.tiesv.org/,"is a non-profit network of entrepreneurs and professionals founded in Silicon Valley. TiE’s focus is on generating and nurturing our next generation of entrepreneurs through mentoring, networking, and education. There are currently more than 12,000 members and over 2,500 charter members in 53 chapters across 12 countries. In addition to its flagship event, TiEcon - the largest conference for entrepreneurs, TiE offers a wide range of programs including Special Interest Groups and TiE Institute. For more information, visit www.sv.tie.org",
yes,yes,ubergizmo,Ubergizmo,8,,mediapartner,http://www.ubergizmo.com/,"Launched in 2004, Ubergizmo has quickly become one of the top consumer electronics websites in the US. Ubergizmo is a Webby Award Honoree, has been ranked as aTop100 Blog by PCMagazine, ranks Top100  in Nielsen's Blogpulse and Technorati, and was featured in the Hot Site on USA Today.",
yes,yes,untethertv,UNTETHER.tv,9,,mediapartner,http://www.UNTETHER.tv," is a video podcast focused on the mobile/wireless industry where we get insight into what it takes to build an innovative and growing business from the experts who are currently doing it. With over 100 hours of filmed conversation from the rock starts of the mobile/wireless world, UNTETHER is the most complete resource for learning how to participate and succeed in this space.",
yes,yes,vctaskforce,VC Taskforce,10,,mediapartner,http://www.vctaskforce.com/,"is the premier ""go-to"" organization for investors. We address the crucial issues and concerns in the venture community and produce workshops, roundtable meetings and panel events that provide tactical and strategic insights and information for both investors and portfolio companies. For more information, visit www.vctaskforce.com",
yes,yes,vlab,MIT/Stanford Venture Lab (VLAB),11,,mediapartner,http://www.vlab.org/,"is a non-profit organization promoting the growth and success of high-tech entrepreneurial ventures by connecting ideas, technology and people. We provide a forum for entrepreneurs, industry experts, venture capitalists, private investors and technologists to exchange insights about how to effectively grow high-tech ventures amidst dynamic challenges. For more information, visit www.vlab.org",
yes,yes,wbtw,We Blog The World,12,,mediapartner,http://www.weblogtheworld.com,,
yes,yes,wip,Wireless Industry Partnership (WIP),13,,mediapartner,http://www.wipconnector.com/,"is an international company that builds mobile developer communities and amplifies the developer’s voice in the ecosystem.  Our WIPJam and Muther! events are popular around the world. Our on-line Developer Resources and Global Partnerships, connect developers and start ups to information, resources and tools. For more information, visit www.wipconnector.com",
yes,yes,webtrends2,Webtrends,,,primetime,http://www.webtrends.com,,
yes,yes,etrade3,E*TRADE,,,primetime,https://us.etrade.com/e/t/jumppage/viewjumppage?PageName=IPO_overview,,
yes,yes,interdigital,InterDigital,,,primetime,http://www.interdigital.com,,
yes,yes,akamai1,Akamai,,,primetime,http://www.akamai.com,,
yes,yes,webtrends,Webtrends,,,reception,http://www.webtrends.com,,
yes,yes,etrade2,E*TRADE,,,reception,https://us.etrade.com/e/t/jumppage/viewjumppage?PageName=IPO_overview,,
yes,yes,eventbrite,Eventbrite,,,partners,http://eventbrite.com/,,
yes,yes,orange,Orange,,,showtime,http://www.orange.com,,
yes,yes,soasta,Soasta,,,showtime,http://www.soasta.com,,
yes,yes,sequoia,Sequoia,,,showtime,http://www.sequoiacap.com,,
yes,yes,svb,SVB,,,showtime,http://www.svb.com,,
yes,yes,slingmedia,Sling Media,,,showtime,http://www.slingmedia.com,,
yes,yes,circletechnology,Circle Technology,,,showtime,http://www.thecircletech.com,,
yes,yes,livestream,Livestream,,,partners,http://livestream.com/,,
yes,yes,box,Box,,,showtime,http://www.box.com,,
yes,yes,packetvideo,PacketVideo,,,showtime,http://www.pv.com,,
yes,yes,truphone1,Truphone,,,primetime,http://www.truphone.com,,
yes,yes,solsticemobile,Solstice Mobile,,,showtime,http://www.solstice-mobile.com,,
yes,yes,motwin2,moTwin,,,showtime,http://www.mootwin.com,,
yes,yes,qualcomm,Qualcomm,,,primetime,http://www.qualcomm.com,,
yes,yes,aspera,Aspera,,,showtime,http://www.asperasoft.com,,
yes,yes,appannie1,AppAnnie,,,primetime,http://www.appannie.com/,,
yes,yes,layer7,Layer 7,,,showtime,http://www.layer7.com,,
yes,yes,apigee,Apigee,,,showtime,http://www.apigee.com,,
yes,yes,inneractive,inneractive,,,primetime,http://www.inner-active.com,,
yes,yes,mashery,Mashery,,,showtime,http://www.mashery.com,,
yes,yes,kaazing,Kaazing,,,primetime,http://www.kaazing.com,,
yes,yes,yp,YP.com,,,showtime,http://www.yp.com,,
yes,yes,scrollmotion,ScrollMotion,,,showtime,http://www.scrollmotion.com,,
yes,yes,jiwire,JiWire,,,showtime,http://www.jiwire.com,,
yes,yes,parse,Parse,,,showtime,http://www.parse.com,,
yes,yes,shastaventures,Shasta Ventures,,,showtime,http://www.shastaventures.com,,
yes,yes,cloudxtension,CloudXtension,,,showtime,http://www.cloudxtension.com,,
yes,yes,pubnub,PubNub,,,showtime,http://www.pubnub.com,,
yes,yes,daks,DeviceAnywhere by Keynote Systems,,,showtime,http://www.keynotedeviceanywhere.com,,
yes,yes,nvp,Norwest Venture Partners,,,showtime,http://www.nvp.com,,
