Date,Time,Title,Subtitle,Description,Speaker,Speaker Title,Speaker Company,Panelist,Panelist Title,Panelist Company
3/21/2012,,,,,,,,,,
,7:30 AM,REGISTRATION & BREAKFAST,,,,,,,,
,8:30 AM,OPENING REMARKS,,,Chris Albrecht,Creative Director,GigaOM,Derrick Harris,Conference Chair and Writer,GigaOM
,,,,,,,,Stacey Higginbotham,Senior Writer,GigaOM
,,,,,,,,Om Malik,Founder,GigaOM
,8:40 AM,Structuring Decisions from Unstructured Data,,"What's the holy grail of big data? Cracking the code of mining unstructured data. Text and otherwise, unstructured data represents the majority of the big data universe's ""dark matter."" But what approaches will work? What are the real benefits, and how can your enterprise start making sense of the vastness of the data? Hear from leaders in the field with real-world approaches, and thoughts about the future of technologies for unstructured data.",Seth Grimes,Principal Consultant,Alta Plana,Jason Hunter,Deputy CTO,MarkLogic
,,,,,,,,Paul  Speciale,"VP, Products",Amplidata
,,,,,,,,Staffan Truve,CTO and Co-Founder,Recorded Future
,9:10 AM,Machine Learning's Impact on Business Models and Industry Structures,,"Big Data is putting a premium on insight and the speed of turning that insight into actionable decisions.  Today's analytics require human experts to ask the right questions.  This panel will demistify how machine learning can change the equation between data, expertise, and decisions.  We'll look at how the panelists represent several approaches to commercializing machine learning technology.  In the process, we'll look at how to use the technology to become a better data-driven enterprise and how that can change a company's relative market share within its industry.",George Gilbert,"Principal, Tech-Alpha and Analyst",GigaOM Pro,Currie Boyle,Distinguished Engineer,IBM
,,,,,,,,Alexander Gray,CTO,Skytree
,,,,,,,,Mok Oh,Chief Scientist,PayPal
,,,,,,,,Amarnath Thombre,"SVP, Strategy and Analytics",Match.com
,9:45 AM,Querying Google's Big Query,,"Google uses big data, Big Compute and “Big Smarts” to huge business advantage. With its recently announced Big Query product, it aims to provide Google-scale data analytics on billion-row data sets to customers. The power of such a tool affords many businesses the ability to access powerful data analytics for the first time. In this fireside chat, we talk to Google about its plans for the product and what impacts and opportunities it will create in the marketplace over the coming months.",Stacey Higginbotham,Senior Writer,GigaOM,Ju-kay Kwek ,"Product Manager, Google Cloud Platform Team",Google
,10:00 AM,"Smart Tools: Dissect, Digest and Deliver on Big Data",,"No one really needs an army of IT analysts. A new generation of tools is empowering business users of all abilities to derive value from big data, one digestible bite at a time. Intuitive interfaces on affordable and powerful cloud services mean that the right tools can be effective for the jobs at hand.",,,,Rachel  Delacour,CEO and Co-Founder,We Are Cloud
,10:10 AM,"Big Data, Security and Innovation",,"Massive amounts of energy data will emerge as utilities in the U.S. add information technology to their grids. But this also could make the grid even more vulnerable to security concerns as that energy data could be hacked by people and nations that could use it to their advantage. Woolsey’s background in defense and venture capital puts him in a unique position to discuss the intersections of big data, security, innovation and energy.",Katie Fehrenbacher,Senior Writer,GigaOM,R. James Woolsey,"Chairman, Foundation for Defense of Democracies, Venture Partner, Lux Capital Management
",and Former Director of Central Intelligence
,10:30 AM,BREAK,, (Optional Sponsor Workshops)                                                                                                                ,,,,,,
,,10:45 AM - EMC Sponsor Workshop - Oceanic Suite,How Big Data and Analytics Are Changing Organizations,"The world of big data analytics is disruptive, and it will create new competitive environments. To be competitive, organizations will require new technology with clear implementation strategies, iterative test-and-learn environments and data science talent. Using real-world examples, this session will detail best practices for starting the journey toward big data analytics. ",,,,Mike Maxey,Senior Director of Product Marketing,"Greenplum, a division of EMC"
,,10:45 AM - LexisNexis Sponsor Workshop - Aquitania West Suite,Finding Fraud Rings Through Relationship Analytics: A healthcare case study with HPCC Systems,"A case study on how HPCC Systems detected potential healthcare fraud and collusion for a major healthcare organization leveraging big data and relationship analytics. The case study will focus on the customer challenge, the data pieces leveraged and the results found, which lead to an immediate investigation. HPCC Systems from LexisNexis® Risk Solutions offers a proven, open source, data-intensive supercomputing platform designed for an enterprise to solve big data problems.",,,,"Bill Fox, JD",Senior Director,LexisNexis Risk Solutions
,,,,,,,,Charles Kaminski,Senior Architect,HPCC Systems
,,10:45 AM - DataStax Sponsor Workshop - Aquitania East Suite,The Top 5 Factors to Consider When Choosing a Big Data Solution,"Do you have your fail-proof big data plan in place? Today most experts agree that big data is the next strategic business initiative in an enterprise and a key to staying ahead of the competition. During this session, Robin Schumacher, an industry expert and author, will cut through the hype and share five clear, actionable goals that will enable you to establish your big data initiative.",,,,Robin Schumacher,VP of Products,DataStax
