Filled out Fulfillment Form,Publish,Photo Ready?,List on front page?,Gender,First Name,Last Name,Title,Company,Tagline,Order (front page),Order (speaker page),Type (default: speaker),Bio Ready?,Biography,timestamp
y,y,y,y,m,Ryan,Higa,Creator,"""The Ryan Higa Show""","Creator, ""The Ryan Higa Show""",12,12,speaker,y,"Ryan was born and raised in Hilo, a small town of 47,000 people on the Big Island of Hawaii.  Out of sheer boredom, he started making home videos about 5 years ago with his neighborhood friends....sharing them with family and close friends.   Three years ago he started posting the videos on Youtube making it easier for friends to view.  He never imagined his videos would become so popular.  Since 2007, his MySpace has grown from 27,000 to over 169,000 friends.  In August 2009, with over 1.5 million subscribers, he became the #1 Most Subscribed on YouTube.  He is currently a student at University of Nevada, Las Vegas, majoring in Film.",1254292384
y,y,y,y,f,Angela,Wilson Gyetvan,"VP, Sales and Marketing",3ality Digital,"VP, Sales and Marketing, 3ality Digital",,,speaker,y,"Angela Wilson Gyetvan is Vice President, Sales and Marketing for 3ality Digital, which creates enabling technologies for the emerging field of 3D entertainment.  The company’s accomplishments include U2 3D, the first movie produced in digital 3D, and live 3D sports broadcasts with the NFL, Fox Sports, and Sony.    Angela has launched and built companies in multiple industries, including digital media, videogames, e-commerce, and consumer products; and has held executive positions with Revver, Four Seasons Hotels and Resorts, Food.com, Electronic Arts, and Broderbund Software. Accolades include being named “Guerilla Marketer of the Year” by Brandweek.  She holds a BA from Duke University and an MBA from the College of William and Mary, and belongs to the Academy of Television Arts and Sciences, AFI, and Film Independent.",1255462055
y,y,y,y,m,Allen,Delattre ,"Managing Director, Electronics and High Technology",Accenture,"Managing Director, Electronics and High Technology, Accenture",,,speaker,y,"Al Delattre is Managing Director of Accenture’s Electronics and High-Technology  practice, focusing on developing strategic agendas, architecting and delivering high-impact solutions and services that improve business performance for leading companies in the Tech Sector. He has helped global companies shift their business strategies to capture opportunities emerging because of the advance of competitive threats and emerging market opportunities; the impacts of globalization; the transition to solutions, software and services-based revenue models and responding to the current economic climate. Mr. Delattre has held several leadership positions, authored and published numerous articles, served as keynote speaker at global industry events and been cited in numerous media outlets. Mr. Delattre attended the University of Rochester earning a degree in Mechanical Engineering. He lives in Connecticut with his wife and two daughters.",manual
y,y,y,y,m,Kevin,Lynch,CTO,Adobe Systems,"CTO, Adobe Systems",4,4,"speaker
",y,"As chief technology officer, Kevin Lynch oversees Adobe’s experience design and core technology across business units. This role includes driving Adobe’s technology platform for designers and developers across desktops and devices as well as overseeing the integration of customers and partners in the development process. Lynch joined Adobe through the company’s acquisition of Macromedia, where he served as chief software architect and president of product development. He previously worked for General Magic and Frame Technology. Lynch holds three patents and is involved in Adobe’s international standards efforts with organizations such as the W3C, ECMA and ISO. Lynch studied interactive computer graphics at the University of Illinois.
",1251159540
y,y,y,y,m,Rajan,Raghavan,CEO,Ankeena Networks,"CEO, Ankeena Networks",,,speaker,y,"Rajan Raghavan is a serial and experienced entrepreneur, having successfully founded four companies. Prior to co-founding Ankeena, Raghavan co-founded Xambala, where he developed the company's vision for the XML, security and financial industries. Prior to Xambala, Raghavan founded and served as CEO of RealChip Communications, where he established the company's fabless ASIC and VOIP segment strategies. Raghavan also founded and served as President and CEO of Virtual Chips, a pioneer in the Semiconductor Intellectual Property market segment. Raghavan successfully sold Virtual Chips to Phoenix Technologies where he served as vice president. Raghavan holds a B.E. in Electronics and Communications from National Institute of Technology Tiruchirappalli; an M.S. in Electrical Engineering from Clarkson University; and an MBA from Syracuse University.",
y,y,y,y,m,Bill,Gurley ,General Partner,Benchmark Capital,"General Partner, Benchmark Capital",10,10,speaker,y,"Bill Gurley joined Benchmark Capital in 1999 after spending two years as a partner with Hummer Winblad Venture Partners.  His current Investments include: Clicker, Fanbase, Linden Lab/SecondLife, LiveOps, Move Networks, Nanosolar, OpenTable (IPO: OPEN), Red 5 Studios, Ruba, Tropos Networks, and Zillow.com. Before entering the venture capital business, Bill spent four years on Wall Street as a top-ranked research analyst, including three years at CS First Boston focusing on personal computer hardware and software. For the past fifteen years, Bill has authored the Above the Crowd blog which focuses on the evolution and economics of high technology businesses. Bill received his MBA from the University of Texas, a BS in Computer Science from the University of Florida and is a Chartered Financial Analyst.",
y,y,y,y,m,Avner ,Ronen,CEO and Co-Founder,Boxee,"CEO and Co-Founder, Boxee",11,11,speaker,y,"Named one of Rolling Stone's ""Agents of Change"" for 2009, prior to boxee Ronen was the Head of Corporate Development and M&A for Comverse, Inc. a leading provider of software and service to Telecom service providers. Ronen was responsible for acquisitions valued at $450M, which were key to the company's evolution from a Voicemail company to a Billing and VAS provider. Ronen joined Comverse in 2002 when they acquired Odigo, which he co-founded in 1998. Odigo was one of the early Instant Messaging services on the web serving 8M users worldwide, and earned Ronen the 2002 honor of being a member Crain's 40 under 40. Prior to Odigo Ronen served for 4.5 years in the Israeli Defense Force in the special computer unit, MAMRAM.",1249583363
y,y,y,y,f,Lindsay,Campbell,Partner,Bright Red Pixels,"Partner, Bright Red Pixels",,,speaker,y,"Lindsay Campbell is best known on the internet for her work on two groundbreaking daily web shows: ""Wallstrip"", a daily show about the stock market (acquired by CBS in 2007) and ""MobLogic"", a daily news and politics show, which she created with partners Adam Elend and Jeff Marks while at CBS. After leaving CBS this year, Campbell, Elend and Marks formed Bright Red Pixels, a multi-platform entertainment company that continues to innovate how content is viewed on the web. Additionally, Campbell hosts the business web show ""Small Business Rules"" which is produced in conjunction with Next New Networks and American Express. In real life, she splits her time between NYC and LA and is grateful for the advent of wireless internet above 30,000 ft.",
y,y,y,y,m,James,Spare,President and CEO,Canesta,"President and CEO, Canesta",,,speaker,y,"Mr. Spare's expertise is in successfully launching new, innovative technology products and companies. He leverages his prior experience in product management, marketing, and business development to lead the Canesta team. Previously, Mr. Spare served as business development director for the Microsoft TV Platform Division where his team created and managed key alliances with OEMs and network operators. Mr. Spare was a key driver of Microsoft's investments and strategic product plan for the cable and satellite industry in North America. Most recently, Mr. Spare served as COO of INBOXTV Corporation where he managed marketing, engineering, business development and operations for this Internet startup. Mr. Spare holds an MBA from the Amos Tuck School of Business at Dartmouth and a BSEE from North Carolina State University.",
,y,y,y,m,Quincy,Smith,CEO,CBS Interactive,"CEO, CBS Interactive",3,3,speaker,y,"Quincy Smith serves as Chief Executive Officer, CBS Interactive, a business unit within CBS Corporation that houses and operates all its interactive consumer properties. Smith has been at the helm of the division since joining the Company, serving as its President from November 2006 to June 2008. Prior to joining CBS in November 2006, Smith was an executive at Allen & Company. Prior to Allen & Company, Smith was a Founding Partner of The Barksdale Group, a venture capital firm. Previously, Smith spent five years at Netscape where he ran Investor Relations and Corporate Development and played a role in over 20 joint ventures, investments and acquisitions including Netscape's ultimate sale to AOL. Prior to that, Smith was an investment banker for Morgan Stanley.",1255638753
