Time,Title,Subtitle,Description,Speaker,Speaker Title,Speaker Company,Panelist,Panelist Title,Panelist Company,Room
8:00 AM,Registration and Breakfast,,,,,,,,,
9:00 AM,Opening Remarks,,,Emcee - Lindsay Campbell,Partner,Bright Red Pixels,"Om Malik, Liz Gannes, Chris Albrecht",,,
9:15 AM,Game On! Xbox LIVE's Video World,,"With millions of units in homes already, Microsoft's Xbox 360 is poised to transform from a game console into a full-fledged video platform that offers Netflix movies, the Zune Video Marketplace and social viewing with friends. Marc Whitten shows off what's new for the service and how Microsoft's living room play is no game.",Chris Albrecht,Co-Editor NewTeeVee,GigaOM,Marc Whitten,General Manager of Xbox LIVE,Microsoft,
9:35 AM,YouTube Phenom,,"Is there anyone in the world who can make a short film, put it on the Internet with zero marketing and get more than 2 million views in one month? And whose name isn't Joss Whedon? Ryan Higa, a goofball comedian who posts home videos made with his friends to YouTube, did just that with his recent project Ninja Melk. His Nigahiga channel (which usually consists of short-form rants, lip-syncs and sketches) recently surpassed last year's NewTeeVee Live sensation Lucas ""Fred"" Cruikshank to become the No. 1 most-subscribed channel on YouTube.",Liz Gannes,Co-Editor NewTeeVee,GigaOM,Ryan Higa,Creator,"""The Ryan Higa Show""",
9:50 AM,"NewTeeVee's Next Big Thing, Session 1",,"The editors of NewTeeVee chose 10 of the most promising young players in the online video space to project the future. Each of the presenters from our diverse list of companies will tell us what's next on their respective road maps, and identify where they think the industry is going. Taken together, we'll get a heterogeneous yet cohesive look at the most interesting upcoming trends, technologies and projects in online video.",,,,Sam Blackman,CEO,Elemental Technologies,
,,,,,,,Doug Knopper,Co-Founder and Co-CEO,FreeWheel,
,,,,,,,Avner Ronen,CEO and Co-Founder,Boxee,
,,,,,,,Matt Smith,"Senior Director, Systems Architecture
",Inlet Technologies,
,,,,,,,James Spare,President and CEO,Canesta,
10:30 AM,BREAK,,(Optional Workshops - Located on Level 2),,,,,,,
,Comcast Workshop – Room 1,Comcast:  How Can We Help You?,"Come meet Comcast's Frank Eliason, aka ""@comcastcares""  -  the man behind Comcast's online customer service outreach.  Frank will handle requests live from NewTeeVee and talk about the evolution of social media and customer service.  ",,,,Frank Eliason,Director of Digital Care,Comcast Cable,
,Adobe Systems Workshop – Room 2,Monetization and High Quality Video Using the Adobe Flash Platform,"Today over 75% of all video on the web is consumed through the Adobe Flash Platform.  Get a glimpse into Adobe’s video strategy and future technology to deliver and monetize interactive media experiences.  Product Manager, Kevin Towes will lead you through case studies of how companies around the globe are using the Adobe Flash Platform to power their online video businesses. ",,,,Kevin Towes,"Product Manager, Flash Media Server",Adobe Systems,
11:10 AM,Comedy Central is Serious About Web Video,,"The web has become an integral part of the ongoing success of shows like ""South Park,"" ""The Daily Show"" and ""The Colbert Report."" Erik Flannigan heads up the digital efforts of Comedy Central and Spike TV and will talk about the role of the Internet in creating, developing and distributing TV shows.",Rick Feldman,President and CEO,NATPE,Erik Flannigan,EVP of Digital Media ,MTVN Entertainment Group,
11:30 AM,On Demand Online,,"TV Everywhere is THE big story of 2009. Comcast has been leading the authentication movement and is bringing with it a host of cable programmers. Amy Banse will provide a firsthand account of how Comcast is managing this Herculean task, and what it means for what you watch online.",Chris Albrecht,Co-Editor NewTeeVee,GigaOM,Amy Banse,President,Comcast Interactive Media,
11:50 AM,How NFL.com Scores with Fantasy Football,,"Close to 30 million Americans play some form of fantasy sport -- and as anyone with a Fantasy Football fan in their lives will tell you, they can be rabid about their pastime. Fantasy Football players don't care about just the home team, but every team, and as a result they watch more and connect with NFL.com more often than regular fans. Learn how the NFL is harnessing this fan power to extend the football-watching experience beyond the TV screen and into fans' everyday lives.",,,,Laura Goldberg,General Manager of NFL Online,National Football League,
12:00 PM,The Medianet,,"Cisco expects that some 90% of all consumer IP traffic will be video by 2013, a shift that will introduce fragmentation in both user experiences and monetization models. Cisco believes pay-TV and online video must converge to produce effective business models, using the network as a platform for this converged video experience.",,,,Murali Nemani,"Director, Service Provider Video Marketing",Cisco,
12:15 PM,The Journey Over the Top,,"Netflix, under the leadership of Reed Hastings, has made itself central to the living room's transition to digital. And in light of Netflix's daring and increasingly popular all-unlimited streaming programs, Hastings, better than anyone, can project the content business models of the future. Unlike its competitors, Netflix has managed to avoid handicapping itself in the living room by keeping over-the-top vendor-neutral. Will the company capitalize on its positioning to offer a complete premium video offering? And if so, when?",Om Malik,Founder,GigaOM,Reed Hastings,Co-Founder and CEO,Netflix,
12:30 PM,LUNCH,,(Optional Workshops - Located on Level 2),,,,,,,
,GigaOM Pro Workshop – Room 1,Extreme Infrastructure: Taking Video Delivery to the Next Stage,"Over the past year, large-scale news events such as President Obama's inauguration and Michael Jackson's funeral pushed current-generation Internet video delivery networks to their limits. Indeed, as more consumers go online to satiate their video-viewing appetites, online delivery networks will need to evolve so they can better handle these multimillion-viewer events. Join GigaOM Pro to discuss how the video delivery network will evolve to take greater advantage of new technologies across cloud computing, VOD, CDN and P2P networks in order to better handle extreme-video delivery.",Michael Wolf,"VP Research, GigaOM Pro",GigaOM,Dr. Siddhartha Annapureddy ,VP of Engineering ,Dyyno,
,,,,,,,Malachy Moynihan,VP Video Strategy,Cisco,
,,,,,,,"Rajan Raghavan
",CEO,Ankeena Networks,
,,,,,,,Mark Taylor,"VP, Product Delivery and Strategy Content Markets",Level 3 Communications,
,Ooyala Workshop – Room 2,Real Time Analytics that Drive Personalization and Monetization,"As content owners and marketers move beyond the basics of getting video published on the Web, online video is becoming increasingly performance based. Ooyala's Analytics Engine provides real time data on viewer consumption and engagement. Today's discussion will focus on how content creators, brands, and creative agencies can effectively use this data to drive successful video campaigns.",Larry Kless,Founder and President,OnlineVideoPublishing.com,Matt Cutler,VP Marketing and Analytics,Visible Measures,
,,,,,,,Jeff Jordan,"Product Manager, Video",Omniture,
,,,,,,,Edmond Lau,Tech Lead of Analytics and Monetization,Ooyala,
,,,,,,,Michael Shimbo,VP of Digital Content and Strategy,Ticketmaster,
