Time,Title,Subtitle,Description,Speaker,Speaker Title,Speaker Company,Panelist,Panelist Title,Panelist Company
7:30 AM,Registration and Breakfast,,,,,,,,
8:15 AM,Opening Remarks,,,Emcee - Chris Albrecht,Editor GigaOM TV,GigaOM,Om Malik,Founder,GigaOM
,,,,,,,Ryan Lawler,Editor NewTeeVee,GigaOM
,,,,,,,Janko Roettgers,Co-Editor NewTeeVee ,GigaOM
,,,,,,,Liz Shannon Miller,Co-Editor NewTeeVee ,GigaOM
8:25 AM,One Platform for Many Screens:  The Cloud,,"It seems everyone now has their box, everyone has their platform, everyone has their business model.   Exciting, right?  But as the video industry embraces these new and fragmented TV solutions, two market drivers are slow to participate:  content developers and consumers.  By pushing television innovation to the cloud, instead of to the box, both traditional television providers and web video developers can publish to one virtual platform and create one user experience across multiple screens, accelerating the growth of the entire video ecosystem.  It's that simple.   ActiveVideo president and CEO Jeff Miller will outline his argument as to why CloudTV(tm) is core to the evolution of television.",,,,Jeff Miller,President and CEO,ActiveVideo Networks
8:35 AM,A Web-based TV Infrastructure,,"IP Delivered Video and the Future of Pay TV The home television experience is rapidly evolving, from the consumer experience to the enabling infrastructure.  Clearleap co-founder and CEO Braxton Jarratt will discuss how cable and IPTV operators and internet-connected providers, from boxes to TVs, are addressing shifts in consumer behavior through the development of IP-delivered video and intelligent streaming services.",,,,Peter Ansel,VP Business Development,Clearleap
8:45 AM,The NBA's Multiscreen Slam Dunk,,"Over the past two years, the NBA has embraced delivery of live video and stats across multiple platforms, including the iPhone, iPad and Roku connected set-top boxes. NBA Digital general manager Bryan Perez will talk about what the league has learned from that strategy, and what’s new for 2010/2011.",Ryan Lawler,Editor NewTeeVee,GigaOM,Bryan Perez,SVP and GM,NBA Digital
9:05 AM,Keynote,,"Since being founded just three years ago, Hulu has quickly established itself as the go-to spot for broadcast video content on the web. The company took in more than $100 million in revenue last year and should double that this year, based on its ability to monetize video. The innovation continues with the recent introduction of its subscription service, Hulu Plus which spans nearly every conceivable platform. In this Keynote, Jason will lead us through some of his specific thoughts about the future directions for Hulu and the rest of the industry.",,,,Jason Kilar,CEO,Hulu
9:25 AM,A Fireside Chat with Jason Kilar,,Om Malik and Jason Kilar will engage in a fireside chat with questions from the audience.,Om Malik,Founder ,GigaOM,Jason Kilar,CEO,Hulu
9:40 AM,The Global Watercooler: Making TV Social Again,,"For years, TV was all about personalization. Viewers freed themselves from schedules and embraced on-demand and niche content. But in recent months, we've seen some of the highest ratings ever for live TV events like the World Cup and the Olympics. Part of the reason is that TV has its water cooler back, as services like Twitter provide global conversations in real time. What can broadcasters do to embrace this trend?",,,,Robin Sloan,Media Partnerships,Twitter
9:50 AM,Chatroulette's Merton Takes the Stage,,"With his musical improv and identity-hiding disguise, the man known only as Merton became a web sensation earlier this year thanks to video compilations of his Chatroulette interactions.  But now that Chatroulette's attempting to evolve, Merton is too.  What happens to the phenomenon when the technology that allowed it changes? ",Liz Shannon Miller,Co-Editor NewTeeVee ,GigaOM,Merton,Improvisational Pianist,
10:00 AM,The Industry Needs Open Video: Why WebM Is Important,,"Most of the time when people watch video online they are oblivious to the technical, political and intellectual property issues surrounding the way the video is encoded and played back. WebM is an initiative with over 40 major partners, including Google, to create an open codec for web video compression. In this talk, one of the leading figures in the VP8 initiative, takes us on a high level journey through reasons why Open Video will impact the industry.",,,,David  Schleef,CEO,Entropy Wave
10:10 AM,Keynote: Flash Forward to the Future,,"Adobe Flash has long been the de facto plugin for multiplatform video, but now is seeing some competition from HTML5. In this chat, Adobe CTO Kevin Lynch will talk about the future of Flash and why it’s still relevant.
",Ryan Lawler,Editor NewTeeVee,GigaOM,Kevin Lynch,CTO,Adobe Systems Incorporated
10:30 AM,BREAK,,(Optional Workshops - Located on Level 2),,,,,,
,Kyte Workshop – Room 1,Overcoming the Challenges of Multi-Screen Video Delivery,"Delivering live and on-demand video across leading platforms is anything but easy. Using real-world examples of companies including CNET, LEVEL Studios, Premiere Radio Networks, and the Oprah Winfrey Network, Kyte will showcase how they’ve overcome these challenges.  Some of the brands will be present to share their approach to video.",Robb Miller,VP of Business Development West Region,Kyte,Justin Eckhouse,Senior Product Manager,CNET/CBS
,,,,,,,Julie Greenberg,"Co-Founder
",Jobnob
,,,,,,,Jordan Wells,Business Development Executive,LEVEL Studios
,Concurrent Workshop – Room 2,Making Multi-screen Monetization Successful - Practitioner's workshop,"The rapidly evolving markets for multi-screen video services are full of challenges and opportunities. The industry is facing increasing complexities associated with emerging formats, protocols and device types, while trying to manage expanding service models including OTT, TV Everywhere and Internet content reaching the TV screen. In this workshop, Concurrent business leaders will provide their views of the critical success factors for launching outstanding multi-screen video services including delivering a high-quality user experience, monetization models based on media data measurement and management of this data - all of which must be managed with a comprehensive strategy.",,,,Jim Denenny,VP and GM Web/Mobile Video Solutions,Concurrent Computer Corporation
,,,,,,,Kshitij Kumar,VP Commercial Solutions for Video Solutions,Concurrent Computer Corporation
,LoveFilm Workshop – Room 3,Anticipating Shifts in Consumer Behavior,"As the leading European film subscription service, LOVEFiLM successfully provides consumers with choice and convenience for all their film, TV and gaming needs. But to provide this breadth of services, LOVEFiLM has to stay ahead of the digital revolution. LOVEFiLM will share how it does this – anticipating how consumer behavior will evolve and how adoption differs around the world.",,,,Lesley MacKenzie,Group Digital Officer,LOVEFiLM
11:10 AM,YouTuber Phil DeFranco on Turning an Audience into a Business,,"In this conversation, we'll discuss Phil Defranco's evolution from vlogger to YouTube mogul, his work with brands and mainstream Hollywood clients, and his philosophy towards how to be successful in the YouTube age.",Liz Shannon Miller,Co-Editor NewTeeVee ,GigaOM,Phil DeFranco,PhillyD.tv,The Philip DeFranco Show
11:20 AM,Enabling the Video Web,,"A confluence of technology enables video to finally be treated as just another data type on the web.  Coincident.TV CEO David Kaiser discusses the blurring of video, HTML, feeds, and transactions into a unified web medium. ",,,,David Kaiser,CEO and Co-Founder,Coincident TV 
11:30 AM,Vevo and the Rise of the Music Video ,,"Great music videos -- short, visually engaging and full of surprises -- also make great web content.  But the challenge of working with record industries to control and optimize their spread seemed an impossible one before the launch of Vevo.  In less than a year, Vevo's made the music video into a monetizable multi-platform format, and helped artists like Lady Gaga and Justin Bieber become global phenomenons. How did Vevo do it, and what's next? That's what CEO Rio Caraeff will discuss.",Rick Feldman,President and CEO,NATPE,Rio Caraeff ,President and CEO,VEVO
11:50 AM,Storytelling Reinvented,,"The buzz phrase “audience engagement” flies across conference tables in ad agencies, technology companies and broadcast networks but truly engaging the audience has been the job of storytellers since the beginning of time.  The essence of good storytelling never changes- strong identifiable characters and a plot line that keeps your eyes glued to the screen, but thanks to evolving technology the tools of storytelling are changing and managing the audience is becoming just as important as entertaining them. Join Primetime Emmy® winners Carlton Cuse (Lost) and Tim Kring (Heroes), two of televisions pioneering and most successful writer/producers in an open and frank discussion about the evolution of storytelling, moderated by cross media expert and Academy of Television Arts & Sciences Interactive Media Peer Group Executive Committee member  Brian Seth Hurst.",Brian Seth Hurst,CEO,The Opportunity Management Company,Carlton Cuse,Writer and Executive Producer,Carlton Cuse Productions
,,,,,,,Tim Kring,Storyteller,TKE imperative 
12:15 PM,"In and Out of Hollywood: Oren Jacob and ""Ready Set Bag!""",,"As Pixar CTO, Oren Jacob helped grow one of the entertainment industry's most critically and financially successful brands; but as the producer of an independent documentary, he found he wanted to work outside the system to find an audience.  Jacob will discuss how he simultaneously worked both offline and online to promote and distribute the film -- from cold-calling independent movie theaters to collaborating with Auto-Tune the News to create original content.",Liz Shannon Miller,Co-Editor NewTeeVee ,GigaOM,Oren Jacob,"Executive Producer, ""Ready, Set, Bag!""",Ensemble Pictures
12:35 PM,LUNCH,,(Optional Workshops - Located on Level 2),,,,,,
,Envivio Workshop – Room 1,Envivio and Sezmi: Redefining the TV Experience in an Evolving Content Delivery World,"Over the Top (OTT) services are providing viewers compelling alternatives to cable services.  Quality of Experience remains critical in winning and keeping consumers as they consider new offerings. In this session, Envivio will share insights on our unique approach to high-quality video processing, and Sezmi will demonstrate and discuss their ground-breaking television service. ",,,,Travis Parsons,"Senior Director, Business Development",Sezmi
,,,,,,,Arnaud Perrier,"Vice President, Solutions",Envivio
,,,,,,,Julien Signès,President and CEO,Envivio
