Time,Title,Subtitle,Description,Speaker,Speaker Title,Speaker Company,Panelist,Panelist Title,Panelist Company
7:30 AM,Registration and Breakfast,,,,,,,,
8:25 AM,Opening Remarks,,,Emcee - Chris Albrecht,Editor GigaOM TV,GigaOM,Om Malik,Founder,GigaOM
,,,,,,,Mathew Ingram,Senior Writer,GigaOM
,,,,,,,Simon Mackie,Editor WebWorkerDaily,GigaOM
8:30 AM,"
Analyzing The State of Collaboration",,In this fireside chat we talk to two analysts focusing on the world of collaboration and ask questions such as: Where is the industry is heading next? Who will be the next big players? What will cause the next seismic shifts? Where should the Enterprise customer be investing their dollars? Join us as we start the day’s program by getting some insider insights into the state of collaboration in the enterprise.,JP Finnell‎,Managing Partner,Mobility Partners,David Coleman,Managing Director,Collaborative Strategies
,,,,,,,Sameer Patel,Managing Director,The Sovos Group
8:50 AM,Mobilocracy - The Inalienable Rights of the Mobile Workforce,,"Today's mobile employee is 46 years old and lives outside of Silicon Valley. Once only a member of the technological elite, they have hit Main Street and are now behind the largest workplace disruption since the PC. With a highly mobile lifestyle come certain habits - highly beneficial and also potentially risky to the enterprise. Enterprises need to strike the fine balance between data security protection and mobile employee productivity. After more than a decade of serving the upwardly mobile, and four quarters of collecting survey data, iPass President and CEO Evan Kaplan will share some insights about what drives the mobile workforce, their inalienable rights and predictions for 2011.",,,,Evan Kaplan,President and CEO,iPass
9:00 AM,Workshifting: From the Desktop to the Cloud,,"Citrix Online has partnered with Forrester to research current trends and understand the needs of tomorrow's workforce. Come hear Brett Caine, Citrix Online's president, share both the surprising results of this research and his personal experience, which challenge conventional views of the workplace and work practices. He'll also discuss the differences in work practices emerging between the U.S. and the rest of the world, as well as how job functions and age groups are adopting new work styles, drawing out implications for our future competitiveness as work shifts to an anywhere, anyhow, anytime model.",,,,Brett Caine,President,Citrix Online
9:20 AM,"Shifting Time, Shifting Place, Shifting Mode, Yet We Still Remain Human
",,"Technology has advanced more in the past 15 years than in the past 200 years, fundamentally changing the way the world lives and works. Infrastructure, information, entertainment and connectivity have evolved, potentially faster than humans' ability to fully comprehend how it can, or will be, used. As technology directly and indirectly fuels the accelerated development of society and business, are users ready for it? More importantly, do leaders understand the power of technology and its effect on people –- both the intended and unintended consequences?",,,,Allen Delattre,"Global Managing Director, Technology Practice",Korn/Ferry International
9:40 AM,The State of the Human Cloud,,"In this talk, we round up the state of the industry in 2010 and ask two thought leaders for their current top trends and predictions for 2011. In addition, we investigate some common questions: What types of companies are leveraging the human cloud, and how are they doing it? Who are the online workers; where in the world are they located; and what are the prices of labor and the hottest e-labor skills? This is a must-attend session.",Simon Mackie,Editor WebWorkerDaily,GigaOM,Lukas Biewald,CEO and Founder,CrowdFlower
,,,,,,,Fabio Rosati,President and CEO,Elance
10:00 AM,BREAK,,(Optional Workshops - Located on Level 2),,,,,,
,Korn/Ferry International Workshop – Room 1,The Science Behind Success,Find out why some executives are promoted quickly while others stall or derail.  Which critical characteristics predict higher performance and retention in leaders?  How are the most successful leaders adapting in these challenging times?  Join Korn/Ferry executives as we share some of the secrets to the science of the executive search industry. Attendees will be offered an opportunity to take the Korn/Ferry executive assessment and receive personalized online feedback.,,,,Dana Landis,"VP, Global Search Assessment",Korn/Ferry International
,,,,,,,Hawlan Ng,"Director, Assessment Services",Korn/Ferry International
,Accenture Workshop – Room 2,Scaling the Mobile Enterprise: Advances in Cross-Platform Device Management and Software Deployment,"The challenge to manage a global, distributed mobile workforce that brings their own smartphones and tablets into the enterprise is harder than you think. Not managed correctly, the likelihood of misconfiguration, security breaches and out-of-control spending for devices and data can increase by order of a magnitude. The trouble doesn't stop there - real time collaboration also requires cross-platform deployment and data sync capabilities to ensure that all employees have access to the same fresh data all the time. In this panel come hear leading perspectives on how the problems are being solved today and how mobile performance is being delivered.",Lars Kamp ,Executive,Accenture,Delip Andra,CEO and Founder,Twezr
,,,,,,,Adam Blum,CEO,Rhomobile
,,,,,,,Ojas Rege ,VP Products,MobileIron
10:40 AM,Making Collaboration Work in the Big Enterprise,,"Cisco's Rebecca Jacoby has some unique experience. She's the CIO of a company that has committed itself to being a leader in enterprise collaboration tools. She's also a CIO who has had to make those collaboration tools work for her organization at the mandate of Cisco's CEO John Chambers. We talk to Rebecca about the insights she's gained in making high-bandwidth collaboration work across time zones, cultures and departments, and what enterprises can learn from Cisco and deployment of it's products.",Mathew Ingram,Senior Writer,GigaOM,Rebecca Jacoby,SVP and CIO,Cisco
11:00 AM,Designing the Organization for Real-Time Collaboration,,"The collaboration tools you choose will reshape your organization. So what will the new enterprise look like? In this fireside chat with two of the most esteemed minds in Management and Enterprise IT, we ask how organizations can strategize for a mobile, distributed and collaborative workforce, and what key factors managers and IT chiefs alike have to consider for the future enterprise.
",Mathew Ingram,Senior Writer,GigaOM,John Hagel III,"Co-Chairman, Center for the Edge",Deloitte LLP
,,,,,,,John Seely Brown,"Independent Co-Chairman, Center for the Edge ",Deloitte LLP
11:20 AM,Walking the Razor's Edge,,"SG&A Cost Reduction mandates.  High Service level requirements.  A virtual workforce with real estate realities.  Innovation.  How do all these parts come together to enable one of the world's high performance businesses? Tom Pate, Director of Operations for Accenture's $12B North America business, will outline how Accenture took costs out, and built performance in, by leveraging innovative business process, collaboration technology and enabling a virtual workforce.  A key part of Tom's story will be around how management needed to incent, reward and control adoption and compliance in a ""real world"" change management case study.
",Allen Delattre,"Global Managing Director, Technology Practice",Korn/Ferry International,Thomas Pate,North America Geographic Services Executive Director,Accenture
11:40 AM,How Social and Mobile Trends Impact the Workplace,,"The future of the workplace is in real time: status updates from colleagues, data that finds its way to you before you ask for it, and the ability to access it all from any mobile device. Facebook and Twitter have taught the next generation how to collaborate, but how will this new model lead to enhanced productivity for an increasingly mobile workforce? Hear Marc Benioff talk about how he sees real-time social platforms changing the way people communicate, collaborate and innovate.",Victoria Barret,Associate Editor,Forbes,Marc Benioff,CEO,salesforce.com
12:00 PM,The Human Cloud: Elastic Workforce in the Enterprise,,"Crowdsourcing has captured the imagination of people in the enterprise. The concept is that of a ""Human Cloud"" for labor. While it has proven itself effective, in many cases, modern managers are confused, wondering which everyday tasks can be crowdsourced, how to define the tasks, and under what conditions an elastic workforce is the right decision? In a conversation with three of the leading minds in crowdsourcing, we ask how an elastic workforce can be utilized, and what managers should understand when considering such solutions.",Niel Robertson,Founder and CEO,Trada,Alex Edelstein,CEO,CloudCrowd
,,,,,,,Sharon Chiarella,"Vice President, Amazon Mechanical Turk",Amazon
,,,,,,,Doron Reuveni,CEO,uTest
,,,,,,,Maynard Webb,Chairman and CEO,LiveOps
12:30 PM,LUNCH,,(Optional Workshops - Located on Level 2),,,,,,
,GigaOM Pro Workshop – Room 1,Flexi Spaces and Coworking. What Works in the World of Work?,"Empowered by new web technologies, work organizations old and new are beginning to adopt flexible office and workspaces to fit the dynamic nature of today's organizations. What are the different approaches to providing your workforce a place to work? What are the differences in total costs? What really works? Join GigaOM Pro and our panel of experts on workspace to discuss case studies, best practices and the latest trends in the work spaces for the enterprise.",Simon Mackie,Editor WebWorkerDaily,GigaOM,Tony Bacigalupo,Mayor,New Work City
,,,,,,,Campbell McKellar,Founder and CEO,Loosecubes
,,,,,,,Julian Nachtigal,Chief Coworking Guru,pariSoma Innovation Loft
,,,,,,,Jeremy Neuner,Co-Founder and CEO,NextSpace
,Workshop – Room 2,Leading without Seeing - Managing a Distributed Team,"Treat people well. Expect great things from them. Be human. The details though, they make all the difference. Managing the nuances of engagement and productivity with a couple thousand miles between you and your team is both science and art. Hear from Shane Pearlman as to how he has run a fully distributed team of 20-40 North American creatives for the last 5 years. He outlines how his success comes from a cohesive set of technical and cultural systems: the right people, the right environment and the right tools.",,,,Shane Pearlman ,CEO,Shane and Peter
1:30 PM,The Cloud: Enabling What Was Once Impossible,,"Cloud-based applications fundamentally transform how a business operates. For the past decade, Zach Nelson has observed thousands of customers literally change the game by leveraging new capabilities that cloud-based processes can deliver. With the success of NetSuite and it's customers, Zach reveals some data driven insights into how previously impossible business processes are enabled in the cloud and as a result are transforming industries across the world.",,,,Zach Nelson,President and CEO,NetSuite
