Filled out Fulfillment Form,Publish,Photo Ready?,List on front page?,Gender,First Name,Last Name,Title,Company,Tagline,Order (front page),Order (speaker page),Type,Bio Ready?,Biography,timestamp
y,yes,yes,yes,M,Gavin,Starks,CEO,"AMEE
","CEO, AMEE",18,,2009 Speaker,yes,"Gavin is the founding Director of AMEE (http://www.amee.com). Gavin has blended novel business, technology, science and media concepts for more than a decade; and delivered tangible results. Leading projects with organisations as diverse as the UK Government, Google, BBC, Rolls Royce, LogicaCMG, Shell and Christian Aid, he has broad and deep knowledge of how data can change the world. He holds a BSc in Astronomy: working in Radio Astrophysics at the Jodrell Bank Radio Observatory; and a Master’s in Computer-Music (in 1993 he created and lectured new IEEE courses in Electronics and Music at Glasgow University, also developing internet-based research tools).",1267650302
y,yes,yes,yes,M,Jason ,Wolf,"VP of Business Development
",Better Place,"VP of Business Development, Better Place
",38,,2009 Speaker,yes,"Jason Wolf heads Business Development for Better Place California. In this role, he forms strategic partnerships in an effort to create infrastructure for the mass adoption of electric vehicles. Wolf brings more than 11 years of management experience in the IT industry, having held various positions in strategic planning, product rollouts, sales and services. In his last role, Wolf served as president of Sterna Technologies USA, the pioneer of Business Positioning Systems. Prior to joining Sterna, he held a number of positions during a 10-year career at SAP AG, including senior vice president of Strategic Initiatives and senior vice president of New Product Introductions. Wolf holds a B.A. in Economics and Psychology from the University of Tel-Aviv, and an MBA from San Jose State University.
",1267650302
,yes,yes,yes,M,Richard,Barber,CTO and Vice President of Engineering,CarbonFlow,"CTO and Vice President of Engineering, CarbonFlow",,,2009 Speaker,yes,"Richard Barber, CTO and Vice President of Engineering - Richard oversees CarbonFlow's engineering and product development teams. He has led or served as head of engineering for five successful technology startups on two continents, including during multiple exits. He joined CarbonFlow from Mindjet, where he was VP of Engineering for the global leader in visualization based collaborative software, including work on Open XML document standards. He had previously served as VP of Engineering and CTO of iKnowMed, a venture backed provider of electronic health records technology, and as VP of Engineering for Franz, Inc. Prior to moving to Silicon Valley Richard served as CTO and VP of Product Development for Scientia, a provider of scheduling software. He began his career helping launch a startup from Cambridge University in England, serving as chief architect and later CEO of Procyon, the creator one of the first cross-platform object-oriented visual development environments: Procyon Common Lisp. Acquired by Franz, Inc, the product line is the market leader (under the name Allegro CL).Richard holds Masters degrees in Artificial Intelligence and Computer Science and a BS degree in Physics from Cambridge University, plus has several pending patents in collaboration software and data visualization. He has published numerous papers on artificial intelligence and object-oriented programming and authored BONES: An Expert System for Diagnosis with Fault Models.
",1267650302
y,yes,yes,yes,M,Jason,Karas,"Founder & President
",Carbonrally.com ,"Founder & President, Carbonrally.com 
",30,,2009 Speaker,yes,"Jason is the founder of Carbonrally.com – a year-old website that motivates people to reduce energy use and CO2 emissions through competitive game play. Recognized as a TIME Magazine best website of 2008, Carbonrally has attracted individuals and teams from universities, high schools, corporations, and other communities across the country. Prior to Carbonrally, Jason created a radical product development approach for European mobile carrier Orange. Through his program at Orange, Jason cut development times in half and shepherded 7 innovative products from concept through customer deployment. Jason received a Masters in Environmental Economics and an MBA from Duke University in 1997. Through Carbonrally, he is realizing his longtime goal to connect these two disciplines in a new venture. He lives in Boston with his family. ",1267650302
y,yes,yes,yes,M,Rob,Aldrich,"Senior Manager and Principle, Energy Efficient Solutions","Cisco Systems
","Sr Manager & Principle, Energy Efficient Solutions, Cisco",9,,2009 Speaker,yes,"Rob brings 10 years in facilities design, deployment and management experience to Cisco having designed IP-enabled power and cooling systems for more than 20 enterprise class data centers in North America and Asia Pacific. His current role at Cisco involves working with Cisco IT and product engineering teams to drive the ""Green"" agenda at Cisco.  Rob has developed the Cisco Efficiency Assurance Program as a step by step methodology for Cisco customers to adopt more efficient IT operations.  
",1267650302
y,yes,yes,yes,M,Alex ,Wissner-Gross,Co-Founder & CTO,CO2Stats,"Co-Founder & CTO, CO2Stats",30,,2009 Speaker,yes,"Dr. Alexander D. Wissner-Gross is an Environmental Fellow at Harvard University and the Founder and CTO of CO2Stats, the world's largest environmental certification service for websites. He has authored 14 publications, received 82 national and international distinctions, and been issued 7 full and pending patents. His research has been covered in Technology Review, BusinessWeek, USA Today, Scientific American, and The New York Times. In 2003, Alex became the last person in MIT history to receive a triple major, with bachelors in Physics, Electrical Engineering, and Mathematics, while graduating first in his class from the MIT School of Engineering. In 2007, Alex received his Ph.D. in Physics from Harvard for breakthrough work on programmable surfaces, which dramatically increased the computational versatility of a range of materials.
",1267650302
y,yes,yes,yes,M,Richard,Lowenthal,CEO,Coulomb Technologies,"CEO, Coulomb Technologies",27,,2009 Speaker,yes,"From 1998 – 2006 Richard Lowenthal was involved in starting several companies, including Lightera, Pipal Systems and Procket Networks. From 1996 to 1997, Mr. Lowenthal was vice president and general manager of Cisco's WAN Access Products Division. From 1990 through 1995, Mr. Lowenthal was vice president of Research and Development for StrataCom, a telecommunications equipment company. Prior to StrataCom, Mr. Lowenthal was co-founder and vice president of Engineering for Stardent Computers, and vice president of Engineering for Convergent Technologies. Mr. Lowenthal is also a former Mayor of Cupertino, California and is currently Chair of the Board of the YMCA's of Santa Clara Valley. He has a BS degree in Electrical Engineering from UC Berkeley.
",1267650302
y,yes,yes,yes,M,Rich,Miller,President,"Data Center Knowledge
","President, Data Center Knowledge
",43,,2009 Speaker,yes,"Rich Miller is the founder and editor of Data Center Knowledge, a leading source of daily news and analysis about the data center industry. At DCK, Rich has tracked the growing impact of high-density computing on the power and cooling of data centers, and the resulting push for improved energy efficiency in these facilities. Rich has been closely tracking the data center sector since 2000. He has been a professional journalist and analyst for 25 years, working at daily newspapers before shifting to online publishing. ",1267650302
y,yes,yes,yes,M,Dr. Albert,Esser,VP of Data Center Infrastructure Group,Dell,"VP of Data Center Infrastructure Group, Dell",5,,2009 Speaker,yes,"Dr. Albert A. Esser serves as vice president of Power and Infrastructure Solutions at Dell responsible for the Infrastructure Product line, working with product leaders to maximize Efficiency, Productivity and Performance of Dell’s enterprise-class IT solutions. Prior to joining Dell, Dr. Esser held positions at Anzode, Daimler-Benz, Eaton Corporation, Emerson Network Power and Emerson Electric, General Electric and Hilti. Dr. Esser received his Diplom-Ing. (MS) and Dr.-Ing (PhD) in Electrical Engineering from the University of Aachen, Germany. He currently holds 12 US patents and has published a book on wireless transmission of electric power and signals for robots as well as numerous whitepapers and research on various topics related to power and cooling and data center technology.
",1267650302
y,yes,no,yes,F,Katie,Fehrenbacher,Editor Earth2Tech,GigaOM,"Editor Earth2Tech, GigaOM",25,,2009 Speaker,yes,"Katie Fehrenbacher has been covering cutting-edge technology and startups in Silicon Valley for the past 7 years. She headed up the launch of Earth2Tech in July 2007. Prior to joining GigaOM, Fehrenbacher was a reporter at Red Herring, where she wrote about broadband. She was also one of the original editors at Engadget. Fehrenbacher began her career as a reporter in the Silicon Valley bureau of the largest Japanese daily newspaper, the Yomiuri Shimbun.",1267650302
