Date,Time,Title,Subtitle,Description,Speaker,Speaker Title,Speaker Company,Panelist,Panelist Title,Panelist Company
10/16/2013,,,,,,,,,,
,7:30 AM,REGISTRATION & BREAKFAST,,,,,,,,
,8:25 AM,OPENING REMARKS,,,Chris Albrecht,Creative Director,GigaOM,Kevin Fitchard,Senior Writer,GigaOM
,,,,,,,,Stacey Higginbotham,Senior Writer,GigaOM
,,,,,,,,Om Malik,Founder and Senior Writer,GigaOM
,8:30 AM,CE mobile trends and innovation,,"How will our lives and businesses be changed by driverless cars, wearable technology, sensors, 3D printers and curated content? What will privacy and personal identity mean within the evolving context of the hyperconnected, always-on age of mobile and big data? And how will this impact channels, choices and purchases? What kind of new devices will we see in the future, and which current devices will become irrelevant?",Om Malik,Founder and Senior Writer,GigaOM,Gary Shapiro,President and CEO,Consumer Electronics Association
,8:50 AM,Providing a personal service to athletes via a wearable device,,"Paul Gaudio, the head of adidas Interactive, and Olof Schybergson, the CEO of service design firm Fjord, will discuss adidas' objectives and strategy and how it brought a strand of it to life as a wearable device. They will delve into the journey of the project, from user insight to a wearable device that offers a personalized experience and offer learnings around designing in the wearables space.",Katie Fehrenbacher,Senior Writer,GigaOM,Paul Gaudio,"VP, adidas Interactive",adidas
,,,,,,,,Olof Schybergson,CEO,Fjord
,9:10 AM,Building the internet of everything near me,,"During this fireside chat, Rob Chandhok, the president of Qualcomm Interactive Platforms and the SVP of Qualcomm Technologies, will discuss the internet of everything. Topics will include the shifting notions of what it means to be connected and the complementary roles that will emerge for cloud-based services on the one hand and the proximal cloud on the other. Chandhok will also discuss some of the challenges and solutions for CE and appliance companies when they begin to introduce smart, connected products that will join consumers’ home networks.",Kevin Tofel,Senior Writer,GigaOM,Rob Chandhok,"SVP, Qualcomm Technologies and President",Qualcomm Interactive Platform
,9:25 AM,How GE is leveraging mobile big data,,"Bill Ruh develops software that lies at the heart of the industrial internet, which is changing the way we think about machines. We'll talk to him about how industries are working with GE to leverage mobile and big data on the production line.",Katie Fehrenbacher,Senior Writer,GigaOM,Bill Ruh,Head of GE Software and Analytics Center,General Electric
,9:45 AM,How retail will bring the internet of things to the mass market,,"In an exclusive presentation, Peter Gerstberger from Staples and Zonoff CEO Mike Harris will describe the strategy and business case behind Staples Connect, a multi-platform connected home solution that enables consumers to control home and office technology by a single app. With the retail display being unveiled to the public for the first time at Mobilize, Gerstberger and Harris will explain why Staples Connect represents the most aggressive and interactive retail connected home initiative to date. They will further outline how, by partnering with dozens of large consumer brands and device manufacturers, it will help drive the Internet of Things to the mass consumer market.",Stacey Higginbotham,Senior Writer,GigaOM,Peter Gerstberger,"Senior Merchant, New Business Development",Staples
,,,,,,,,Mike Harris,CEO,Zonoff
,10:05 AM,BREAK,,(Optional Workshops - Located on Level 2),,,,,,
,,10:20 AM - Citrix Sponsor Workshop - Conference Room 1,"Designing the future organization with wearable computing, mobile big data and mobile networks","Join former Gartner analyst Phil Redman and a panel of Citrix executives for a provocative look into the future of the network, working and sharing.",Phil Redman,"VP, Mobile Solutions and Strategy - Desktop Division",Citrix,Ahmed Datoo,"VP Product Marketing, Mobile, Desktop and Cloud",Citrix
,,,,,,,, Michael Harries,"Chief Technologist Citrix Startup Accelerator and Senior Director, CTO Office",Citrix
,,,,,,,,Chris Koopmans,"VP and GM, Service Provider Platforms – Cloud Networking Group",Citrix
,,10:20 AM - ArcSoft Sponsor Workshop - Conference Room 2,The revolution of imaging,"An intelligent imaging revolution is upon us.  With the advent of the Internet of things, wearable technologies, augmented reality and self-driving cars, innovations in imaging technology are at the forefront of bringing visual information to life and creating a new level of connected personal interaction and consumer engagement.",,,,Todd Peters,President of North America,ArcSoft
,,10:20 AM - Qualcomm Sponsor Workshop - Conference Room 3,LTE Advanced is here!,"Following the phenomenal global success of LTE, the stage is set for the foray of LTE Advanced. Industry leaders have already gotten a head start with its first step: carrier aggregation. Join us to explore the success factors behind LTE proliferation and an impressive lineup of enhancements that LTE Advanced is bringing.",,,,Prakash Sangam,Director Tech Marketing,Qualcomm
,11:05 AM,The IoT guru panel,,Connectivity is quickly expanding beyond traditional mobile devices to everything from wearable devices to power meters to ingestible pills. The internet of things will give rise to a wide variety of devices as well as complex new partnerships and business models. Our panel of experts will discuss how they expect the IoT to evolve over the next few years and which vertical markets will see the greatest impact.,Stacey Higginbotham,Senior Writer,GigaOM,Mike Kuniavsky,Principal Scientist,"PARC, a Xerox company"
,,,,,,,,Javier Martinez,"Director, Business and Commercial Development",Libelium
,,,,,,,,Scott N. Miller,CEO,Dragon Innovation 
,,,,,,,,Peter Semmelhack,CEO,Bug Labs
,11:35 AM,Are we at the tip of the iceberg?,,Android co-founder and Google Ventures general partner Rich Miner will explore the underlying question of whether we’re really at the tip of the iceberg for disruption in the mobile industry. ,Tom Krazit,Executive Editor,GigaOM,Rich Miner,General Partner,Google Ventures
,11:55 AM, Designing the foundation of the future of mobile,,"ARM designs processor cores that chip manufacturers use in mobile phones, home electronics and a growing range of other connected gadgets. We'll talk with Simon Segars to learn how ARM and others are helping to lay the foundation for the era of ubiquitous connectivity. 
",Stacey Higginbotham,Senior Writer,GigaOM,Simon Segars,CEO,ARM
,12:15 PM,A day in the life of the connected consumer,,"The IoT promises to change the way we work, eat, communicate and take care of ourselves every day. Our panel will explain what the life of the connected consumer looks like and discuss the challenges and opportunities that exist in an always-connected world.
",Kevin Fitchard,Senior Writer,GigaOM,Bridget Dolan,VP of Interactive Media,Sephora
,,,,,,,,David Feller,Founder and CEO,Yummly
,,,,,,,,Andres Wolberg-Stok,Global Mobile and Tablet Banking Director,Citi Consumer Banking
,12:45 PM,LUNCH - SPONSORED BY: BLUETOOTH SIG,,(Optional Workshops - Located on Level 2),,,,,,
,,1:00 PM - Accellion Sponsor Workshop - Conference Room 1,Securely manage mobile content (not the device) and improve user productivity,"Today's BYOD-enabled work force can leave organizations at risk, despite the improved efficiency it provides. Organizations need ways to maintain data security and compliance, so they can reap the benefits of a more productive workforce. This presentation will focus on getting end-users on board with secure solutions for enterprise mobility management.",,,,Peter Crocker,Founder and Principal,Smith's Point Analytics
,,,,,,,,Yorgen Edholm,CEO,Accellion
,,1:00 PM - Xively Sponsor Workshop - Conference Room 2,The internet of things: a vision for transforming businesses and lives,"The internet of things promises to create a trillion dollar market through products that fundamentally change how we discover, understand and interact with our world. We will review the opportunities and challenges associated with the IoT and share a vision of the realistic evolution of the market.",,,,Chad Jones,"VP, Product Strategy","Xively, a Subsidiary of LogMeIn"
,,1:00 PM - Synchronoss Technologies Sponsor Workshop - Conference Room 3,"Private clouds and mobility, perfect together:
why carriers are the ideal provider for file, sync and share solutions

","Global BYOD and enterprise mobility is expected to grow to $181.39 billion by 2017, driven by the need of small and medium-size enterprises embracing their own private business cloud platform to give employees on-the-go file access and collaboration. This workshop will outline why communication service providers are uniquely positioned to deliver a seamless, secure and cost-effective private business cloud experience.",,,,Biju Nair,EVP and Chief Strategy Officer,Synchronoss Technologies
,1:45 PM,Raspberry Pi: a Lego brick for the internet of things,,"What is Raspberry Pi?  What is it used for, and how will it support a new generation of hardware entrepreneurs in building affordable hardware projects?  ",Stacey Higginbotham,Senior Writer,GigaOM,Eben Upton,Executive Director,Raspberry Pi Foundation
,2:00 PM,Capitalizing on the second screen,,"Tablets and smartphones have become auxiliary TVs both at home and on the road, and no company knows that better than Netflix. Todd Yellin will offer his expertise on the mobile viewing ecosystem, the phenomenon of the second screen and how content providers can deliver highly personalized services in the mobile video era.",Cormac Foster,"Research Director, Mobility",GigaOM Research,Todd Yellin,VP of Product Innovation,Netflix
