Date,Time,Title,Subtitle,Description,Speaker,Speaker Title,Speaker Company,Panelist,Panelist Title,Panelist Company
9/26/2011,,,,,,,,,,
,7:30 AM,REGISTRATION & BREAKFAST,,,,,,,,
,8:30 AM,OPENING REMARKS,,,Emcee - Kevin Tofel,Senior Writer,GigaOM,Om Malik,Founder,GigaOM
,,,,,,,,Stacey Higginbotham,Senior Writer,GigaOM
,8:40 AM,Can Invisible Also Be Amazing? Designing Fluid and Connected Experiences,,"Can we fall in love with things we can't see? As the bond between mobility and the cloud increases, we will need to design invisible and seductive service experiences. Device-to-cloud interactions will yield new products that will adapt to device capabilities and context. But as bright and attractive as the future might look, we have to consider the ethics of money-making in this new age. Who will own user data, and is pushing advertising going to ruin user experience? This and more is covered by leading design firm, Fjord.",,,,Olof Schybergson,CEO,Fjord
,9:00 AM,Pandora is Mostly on the Move,,Pandora is the embodiment of success in the mobile world. This 100-percent browser experience-based company has seen 70 percent of its traffic shift onto mobile platforms and devices.We talk to Tom Conrad as he shares technical and business challenges the company surmounted as it moved into the mobile world. We also look ahead to the future and where Pandora sees its next mobile target: automobiles. Attend this talk to learn how you might migrate your business to a mostly mobile world.,Om Malik,Founder,GigaOM,Tom Conrad,CTO and EVP of Product,Pandora
,9:20 AM,Tablets and Smartphones by the Numbers,,"The growing popularity of smartphones and tablets has opened up new opportunities for mobile content and apps – and raises critical questions, as well. Do different platforms and devices require different monetization strategies or does it depend on which demographic group you are trying to reach? How do different kinds of consumers respond to mobile ads? How much are consumers willing to pay for various types of content? How effective are mobile ads? These questions and more are revealed by audience research giant, The Nielsen Company.
",,,,Jonathan Carson,"GM, Digital",Nielsen
,9:30 AM,Looking Beyond CPM for Monetization,,Lets face it. 50-cent CPM for mobile ads clearly shows the ads aren't working for those looking to monetize nor for those wishing to get their message across. So what options do mobile developers have for monetization that might be effective? We gather a panel of leaders in existing and new monetization mechanisms to discuss which new solutions can make mobile pay.,Ryan Kim,Writer,GigaOM,William Hsu,SVP and Chief Product Officer,AT&T Interactive
,,,,,,,,Zephrin Lasker,CEO and Co-Founder,Pontiflex
,,,,,,,,Brian Wong,CEO,Kiip
,,,,,,,,Keren Zemer,VP Business Development,Appsfire
,10:10 AM,BREAK,,(Optional Sponsored Workshops - Located on Level 2),,,,,,
,,Cisco Sponsor Workshop - Room 1,Real Users. Real Secure Mobile Solutions.,"The proliferation of mobile devices and cloud computing is irrevocably changing the IT landscape--and it seems everyone has a solution. But how good are they? It's time to hear from the users. Join Tom Gillis, Cisco GM for Security in conversation with Nike and McKesson for insights on how the design of secure, mobile solutions intersects with the needs of those who use them.",Tom Gillis,VP and GM Security Technology Business Unit,Cisco,Art King,Global Infrastructure Lead,Nike
,,,,,,,,Simon Richard,Principal Network Architect,McKesson
,,Qualcomm Sponsor Workshop - Room 2,The Big World of Small Cells,"The story of how femo, pico and other small cells provide the performance “leap” – more capacity, better coverage, higher data rates, and enhanced user experience. What’s in the technology chest to make this leap even bigger. What, if any, pitfalls industry be wary of. How all of this fits in the 3G/4G evolution game plan.",,,,Prakash Sangam,"Senior Manager, Technical Marketing",Qualcomm
,,Gist Sponsor Workshop - Room 3,"The Everywhere Address Book  – An Example of Building Connected Services That Span Mobile, Apps and Web","Learn how Gist built the real-time address book combining users contacts from address books, inboxes and social networks and spanned delivery from the web, Outlook, Gmail, iPhone, Android and Blackberry with a small team.  Discuss the blend of technical approaches, application choices and reliance on the cloud that helped Gist scale to support hundreds of millions of contacts and go from concept to acquisition by Blackberry in < 3 years.",,,,T.A. McCann,VP at RIM,and Founder of Gist
,10:50 AM,Can You Hear Me Now?,,"This future is inevitable. Voice is becoming a function of mobile platforms and less a function of carriers. With mobile platform
providers gaining the power base and consumers looking to social media for identity and Wi-Fi for carriage, carriers may have a harder time stopping the evolution. What will that mean for the telcos? How will the shift in power affect the consumers, the developers and the greater business ecosystem?",Kevin Tofel,Senior Writer,GigaOM,Ilja Laurs,Founder and CEO,GetJar
,,,,,,,,Hjalmar Winbladh,Founder,Rebtel
,11:10 AM,Intellectual Property: Protecting or Polluting Innovation?,,"Headlines have been dominated lately by the astronomically sized lawsuits being filed by technology giants against other tech giants. Clearly, intellectual property is back in vogue on an industry-sized scale. In this talk, we assemble IP thought leaders and owners to look at why IP has come back into fashion and whether the focus on IP protects smaller companies or hinders innovation.",Chetan Sharma,President,"Chetan Sharma Consulting and Analyst, GigaOM Pro",Efrat Kasznik,President,Foresight Valuation Group
,,,,,,,,Brian Hinman,VP of Intellectual Property and Licensing,InterDigital
,11:30 AM,4G Arrives: A Carrier's Perspective on the Evolving Mobile Ecosystem,,"Mobilize is thrilled to welcome back Cole Brodman. Last time he spoke, his picture was plastered on newspapers around the world the next day holding up the first Motorola Android phone. In this special chat with Om Malik, we discuss the exciting potential of super-high bandwidth for consumer mobile devices. ",Om Malik,Founder,GigaOM,Cole Brodman,CMO and EVP,T-Mobile USA
,11:50 AM,Between the Cloud and the Consumer,,"There have been two major tectonic shifts in the communications services world: the shift to the cloud for technology infrastructure and the focus of the core business on innovating services. In the gray undefined area between the cloud and the consumer is middleware. Alcatel-Lucent, industry giant and supplier of choice to the world's telcos, is laying down huge bets in this space. We talk with the company's leader about why the industry's future for services innovation lays in the middle.",Chetan Sharma,President,"Chetan Sharma Consulting and Analyst, GigaOM Pro",Wim Sweldens ,"President, Wireless Division",Alcatel-Lucent
,,,,,,,,Iyad Tarazi,"VP, Network Development and Engineering",Sprint
,12:10 PM,Will New Networks Beget New Opportunities?,,"Innovative new products can change the game; we saw that with the iPhone. Consumers remain confused about and indifferent to which generation of technology powers their network, but rush to new services that catch their attention. To create innovative new services, we have to start with technology that will support the visions of creative developers. We talk to the CTO of Sprint about his vision for Sprint to lead the way as the most viable platform for innovators to translate their visions to killer applications. What does the year ahead hold for the network's technology?",Stacey Higginbotham,Senior Writer,GigaOM,Stephen Bye,CTO,Sprint
,12:30 PM,LUNCH,,(Optional Sponsored Workshops - Located on Level 2),,,,,,
,,InterDigital Sponsor Workshop - Room 1,The Business of Invention,"An illustration of the unique practices and core capabilities of a pure-play advanced R&D model in wireless – Envision, Invent, Protect, Evangelize, License.  And a close-up of opportunities for collaboration along the different steps of the “business of invention” process.",Jack Indekeu,Director Corporate Marketing ,InterDigital,Mark Lemmo,EVP Corporate and Business Development,InterDigital
,,,,,,,,Jim Nolan,EVP Research and Development,InterDigital
,,Twilio Sponsor Workshop - Room 2,Going New School with the Old School: Communication in an IP World,"With smartphone penetration rising and hundreds of millions of tablet shipments expected in the coming years - we are moving quickly toward an IP world.  What does that mean for good old-fashioned communication, namely voice and messaging?  Hear our panel discuss new cloud communication applications and services, innovating on old-school technology, and how it applies to our 3G/4G world.",Brian Mullen,Sr. Director Business Development,Twilio,Jed Alpert,CEO and Founder,Mobile Commons
,,,,,,,,Jeff Lawson,CEO and Co-Founder,Twilio
,,Syniverse Sponsor Workshop - Room 3,Mobile Video – The Vital Piece of the Puzzle to Make This a Reality,"The network and device capabilities required for delivering mobile video streaming are becoming a reality.  Billions of dollars have been invested, and the mobile ecosystem needs video to explode to justify that investment.  Hear from key players as they discuss the opportunities and challenges on the evolution on mobile video.",,,,Joni Blecher,Editorial Director,LetsTalk.com
,,,,,,,,Abhishek Tiwari,Product Management Director,Syniverse
,1:30 PM,Profitable Gaps: The New Mobile Infrastructure Players,,"Recently, there has been a spate of successful startups emerging in the mobile infrastructure space. Unlike their predecessors, they don't rely on selling to carriers for deployment on their networks. They sell directly to the app developers, publishers and consumers who need their services. This panel examines the reasons for their present and continued success and explores other opportunities that exist for more services on the networks.",Bob Egan,Managing Director,"MGI Research and Analyst, GigaOM Pro",Shlomi Gian,General Manager of Mobile Service,Cotendo 
,,,,,,,,Jeff Haynie,CEO and Co-Founder,Appcelerator
,,,,,,,,Scott Kveton,CEO,Urban Airship
,2:00 PM,Square'ing Up to the Competition,,"Square has captured the imaginations of small retailers and the wallets of large investors with the promise of shaking up a multi-trillion dollar industry.The rewards are huge, and the bets have become big. It's a play that would not have been possible without the explosion of the smartphone. Om Malik talks to COO Keith Rabois about the impact, the challenges and the huge institutional competition Square faces as it muscles into its seat at the multi-trillion dollar electronic payments dinner table.",Om Malik,Founder,GigaOM,Keith Rabois,COO,Square
,2:20 PM,Mobile Payments 2012: Will This Be the Year?,,"The buzz around mobile payments is at an all-time high. But will the industry follow through this time around? This year has seen major technology players roll out their own mobile payment plays, and others have committed to NFC. Is this an industry, culture and technology convergence that can unleash the next major catalyst for mobile innovation? We assemble some of mobile payments' most influential thinkers to answer some tough questions and to piece together the roadmap for the next 18 months. ",Karen Webster,CEO,Market Platform Dynamics,Laura Chambers,Senior Director of PayPal Mobile,PayPal
,,,,,,,,Brad Greene,Senior Business Leader,Visa
,,,,,,,,Ken Miller ,"VP, Strategic Risk Services",Intuit
,,,,,,,,Dave Talach,"VP, Global Product Management",VeriFone
,3:00 PM,Learning from Flipboard,,Flipboard isn't only at the top of its game; it seems to be reinventing it. What can we learn from the company's success? Om Malik talks to Josh Quitnner about Flipboard's meteoric rise and what impacts its brand of success will have on the media ecosystem.,Om Malik,Founder,GigaOM,Josh Quitnner,Editorial Director,Flipboard
,3:20 PM,BREAK,,(Optional Sponsored Workshops - Located on Level 2),,,,,,
,,Rebtel Sponsor Workshop - Room 1,"The Battle for Mobile Communication Between Apple, Google, Microskype, Rebtel, Tango and More","During the last few months we have seen dramatic changes in the telecommunications industry. Internet behemoths like Apple, Microsoft, Facebook and Google have all become major players in the battle for mobile communication revenues, meanwhile a change in consumer behavior have posed a threat to traditional operators. What impact will this battle have in the near future, and what will this mean for consumers? This panel will take a look at some of the latest technologies and partnerships that have emerged and discuss the trillion dollar question: Who will win the battle for mobile communications?",Bob Egan,Managing Director,"MGI Research and Analyst, GigaOM Pro","Maja Lindstrom
",Head of Product,Rebtel
,,,,,,,,Rick Osterloh,VP of Product,Skype
,,,,,,,,Eric Setton,Founder and CTO,Tango
,,Bubble Motion Sponsor Workshop - Room 2,The Next Land Grab; How Mobile Social Networking Across Asia's Three Billion Consumers Is Taking Shape ,"As U.S. mobile and social companies continue to expand and look for more users and revenue, their gaze is turning towards the mass markets of Asia. But with different consumers, cultures and expectations, how can companies anticipate success? This panel will be exploring successful strategies for social mobile as they look to expand in Asia. Who’s hot and why? How can a social mobile company leverage culture? What are the different monetization models? Come take part in a dynamic presentation and Q&A addressing these points and more. ",David Card,Research Director,GigaOM Pro,Thomas Clayton,CEO and President,Bubble Motion
,,Appconomy  Sponsor Workshop - Room 3,"OH, YOU WANT TO M-A-K-E MONEY?  SURVIVING THE DYING DAILY DEAL. CRITICAL GLOBAL STRATEGIES FOR APP MONETIZATION.","AppCommerce is reaching every corner of the Global Market. By 2015, shoppers around the world are expected to spend $119 billion on goods and services via mobile phones. The burning question is:  what now? How can publishers, carriers and brands dominate SoLoMo to develop meaningful consumer engagement AND increase commerce? Discover:  What is AppCommerce? Why is AppCommerce the next evolution of SoLoMo? How to implement deliberate app monetization.",Michael Wolf,VP Research,GigaOM Pro,Gerry Goldstein,VP AppCommerce,Appconomy
,,,,,,,,Steve Papermaster,Chairman and Co - CEO,Appconomy
,,,,,,,,Scott Sanchez,Director of Sales and Digital Media,Firebrand Media
,4:00 PM,Why So-Lo-Mo Will Finally Unleash M-Commerce,,"Mobile commerce is being reshaped by three trends which John Doerr refers to as ""So-Lo-Mo"": social, location, mobile. Location proximity and mobile consumers' unprecedented use of social networks for posting and sharing their plans, reviews and recommendations provide key dimensions that advertisers and merchants can no longer ignore. This panel examines how leading brands, national retailers, local merchants and payment providers are adapting to these trends and what new m-commerce opportunities are arising.",Phil Hendrix,Director,"immr and Analyst, GigaOM Pro",Paul Cousineau,"VP, Mobile Products",Walmart Global eCommerce
