Publish?,Filled out Fulfillment Form,List On Front Page?,Photo Ready?,Gender,Prefix,First Name,Last Name,Title,Company,Tagline,Order (front page),Order (speaker page),Type,Bio Ready?,Biography,timestamp
Yes,y,Yes,Yes,m,,Mitch,Lasky,General Partner," Benchmark Capital
","General Partner, Benchmark Capital",11,,speaker,y,"Mitch Lasky has spent over two decades in the mobile gaming, new media and interactive entertainment business.  Prior to joining Benchmark Capital, Mitch served as executive vice president of Mobile and Online at Electronic Arts.   Previously, he was chairman and CEO of JAMDAT Mobile, Inc, the leading global publisher of wireless entertainment applications, which was acquired by EA in 2005. Prior to JAMDAT, Mitch was general manager of eCompanies Wireless LLC, an Internet business incubator. He also spent five years at Activision, most recently serving as executive vice president of Worldwide Studios where he was responsible for product development, business development and global operations. Earlier in his career, Mitch practiced law, worked at the Walt Disney Company and started a massively multiplayer online game company.",1244482624
Yes,y,Yes,Yes,m,,Lars,Kamp,Executive,Accenture,"Executive, Accenture",,,speaker,y,"Lars is an Executive in Accenture's Strategy Practice and has eight years of experience in the high tech industry. He's based in San Francisco and previously worked for Accenture's offices in Vienna, Rome and Seoul. In his work he mainly focuses on the mobile web, digital services and devices at the intersection of consumers, media and technology. Lars lives in Presidio Heights with his wife Jutta. When not working, Lars is a Crossfit practitioner and spends his free time skiing in Tahoe and on the Bay sailing. Lars is a member of the IAB Mobile Advertising Committee. He also organizes ""SF Mobile"", a Silicon Valley networking event with focus on mobile and digital media.",1243477532
Yes,y,Yes,Yes,m,,Jesse James,Garrett,President and Founder,Adaptive Path,"President and Founder, Adaptive Path",,,speaker,y,"Jesse James Garrett is Co-Founder and President of Adaptive Path, an experience design firm based in San Francisco. Jesse's tools and concepts have been published in more than a dozen languages and his book The Elements of User Experience is considered one of the seminal works on user-centered design. He is internationally recognized as a leading product experience thinker and has been featured in publications such as The New York Times, The Wall Street Journal and Business Week. In 2006, Jesse received WIRED Magazine's Rave Award for Technology for coining the term Ajax.",1247004930
Yes,y,Yes,Yes,m,,Mike,Fyall,"Manager, Product Marketing","AdMob 
","Manager, Product Marketing, AdMob",,,speaker,y,"As Manager of Product Marketing at AdMob, Mike Fyall is responsible for the company’s product marketing for next generation platforms, including iPhone and Android. He also leads the creation of the monthly AdMob Mobile Metrics Report, which analyzes the data in AdMob’s network of more than 7,000 publishers and 2,500 applications worldwide to provide insights into trends in the mobile ecosystem. Prior to joining AdMob, Mike worked at Nielsen Mobile as an account manager handling the company’s relationship with a major national operator. Mike received his undergraduate degree from Stanford University and an MBA from Harvard Business School.
",1250271387
Yes,y,Yes,Yes,m,,Sanjeev,Agrawal,CEO,Aloqa,"CEO, Aloqa",,,speaker,y,"Sanjeev Agrawal is CEO of Aloqa. Before Aloqa, Sanjeev was Head of Product Marketing for Google and VP Products and Marketing at Tellme Networks.  Sanjeev started his career as an engineer at Analog Devices and spent five years as a management consultant at McKinsey & Co. and then three at Cisco Systems. His areas of focus include designing and building innovative web and mobile products, positioning and marketing them, and building strong channels to make them commercially successful. Sanjeev graduated Phi Beta Kappa and as a Henry Ford Scholar from MIT with a Bachelors and a Masters in Electrical Engineering and Computer Science. ",1246854401
Yes,y,Yes,,m,,Ryan ,Paul,Editor ,Ars Technica,"Editor, Ars Technica",,,speaker,y,"Ryan Paul is the editor of Ars Technica's open source software articles. He has used Linux for over a decade and contributes code and documentation to several open source software projects. Ryan began his career as a tech journalist when he wrote his first magazine article at the age of 17. His articles have been featured by numerous publications, including NewsForge, Linux.com, IT Managers Journal, Linux Pro Magazine, Tux Magazine, Linux Journal, and many others. He joined Ars Technica in 2005 and has authored over 1000 articles for the popular web site. Ryan is also the creator and lead developer of Gwibber, an open source microblogging client for the GNOME desktop environment.",1252361468
Yes,y,Yes,Yes,m,,Abhi,Ingle,"VP, Industry & Mobility Application Solutions",AT&T,"VP, Industry & Mobility Application Solutions, AT&T",-2,,speaker,y,"Abhi leads the national Industry & Mobility Application Solutions sales team which has responsibility for solution sales to the business customer segment. His team works with Line of Business, IT and vertical industry executives to define, deliver and deploy business solutions that help corporations or government agencies wirelessly enable their business applications; including wireless email and messaging, laptop mobility, field service, sales force automation, public safety, logistics, fleet management, and other vertically specific business processes. These solutions are created and delivered through a combination of assets from AT&T and a select set of best-in-class ecosystem partners. Abhi has an MBA with distinction from Harvard Business School. He earned his BA with high honors in Computer Science and Mathematics from Oberlin College.",1248455093
Yes,y,Yes,Yes,m,,John,Balen,"General Partner
",Canaan Partners,"General Partner, Canaan Partners",,,speaker,y,"John Balen is a General Partner at Canaan Partners. Since joining Canaan in 1995, John has worked with some of the smartest people in the technology industry to build high-performance companies such as Commerce One, which brought B2B ecommerce to the masses; eStamp, the pioneer of Internet postage; Intraware the leading provider of electronic license delivery and management; and Rightpoint, a real-time customer analytics software provider, acquired by Epiphany. At Canaan, John focuses on investments in communications and mobility, digital media, and next-generation enterprise technology companies disrupting the balance of traditional markets. He currently serves on the boards of innovative digital media firms Blurb, Cardlytics, and Casabi, and enterprise technology firms Echopass, EZRez, ID Analytics, and SOASTA.",1248341470
Yes,y,Yes,Yes,m,,Balaji ,Natarajan,"Sr. Manager, Mobile Technologies ",Capgemini,"Sr. Manager, Mobile Technologies, Capgemini",,,speaker,y,"Balaji Natarajan is Senior Manager focusing on mobile technologies at Capgemini. In this role Balaji Natarajan provides thought leadership in strategizing and delivering Capgemini's approach to enterprise mobile platforms. He works with global teams spread across sectors including healthcare, telecommunications, manufacturing, utilities, retail. His focus areas include context-driven business architecture, unified communications, smart-grid security, sustainability solutions. He regularly leads teams composed of leading practitioners from the Mobile Industry including device manufacturers, carrier networks, application development vendors - to develop customer-specific mobile solutions. He holds a graduate degree in computer engineering from syracuse university, focusing on large-scale collaboration architectures,tele-virtual reality systems - in collaboration with IBM T.J.Watson labs.",1247769176
Yes,y,Yes,Yes,m,,Chetan,Sharma,President,Chetan Sharma Consulting,"President, Chetan Sharma Consulting",,,moderator,y,"Chetan Sharma is President of Chetan Sharma Consulting and is one of the leading strategists in the mobile industry. Executives from wireless companies around the world seek his accurate predictions, independent insights, and actionable recommendations. He has served as an advisor to senior executive management of several Fortune 100 companies in the wireless space and is probably the only industry strategist who has advised each of the top 6 global carriers. Chetan has helped several global and local players in the ecosystem develop their mobile advertising strategies. Some of his clients include NTT DoCoMo, Disney, KTF, China Mobile, Toyota, Comcast, Motorola, FedEx, Sony, Samsung, Alcatel Lucent, KDDI, Virgin Mobile, Sprint Nextel, AT&T Wireless, Reuters, Qualcomm, Comverse, Motricity, Reliance, SAP, Merrill Lynch, American Express, and HP.",1243464500
Yes,y,Yes,Yes,m,,"Dr. Sanjay K.
","Jha
","Co-CEO, Motorola, Inc.  ","Chief Executive Officer, Mobile Devices
","Co-CEO, Motorola, Inc.   CEO, Mobile Devices",1,,keynote,y,"Dr. Jha joined Motorola in 2008 and serves as co-chief executive officer of Motorola, Inc. and chief executive officer of Motorola's Mobile Devices business. He is also a member of Motorola's board of Directors. Prior to joining Motorola, Jha served as chief operating officer of Qualcomm Incorporated where he oversaw Corporate Research and Development and Qualcomm Flarion Technologies (QFT). Jha also served as president of Qualcomm CDMA Technologies (QCT), Qualcomm's chipset and software division. Jha began his career at Qualcomm in 1994 as a senior engineer with the Qualcomm VLSI (very large-scale integration) group working on the Globalstar satellite phone, and later on the first 13k vocoder ASIC (application-specific integrated circuit). In 1997, Jha was promoted to vice president of engineering, where he was responsible for leading the integrated-circuit engineering group. He led and oversaw the development of five generations of modem and cell site chipsets, both digital baseband and RF (radio frequency), and system software. Jha
was promoted to senior vice president of engineering in 1998. In 2002, Jha led the formation of Qualcomm Technologies & Ventures, where he managed both the technology investment portfolio and the new technology group as senior vice president and general manager. Jha became executive vice president of Qualcomm and president of QCT in 2003. He was named COO in December 2006. Prior to joining Qualcomm, Jha held lead design engineering roles with Brooktree Corporation in San Diego, and GEC Hirst Research Labs in London, England. Jha holds a Ph.D. in electronic and electrical engineering from the University of Strathclyde, Scotland. He received his bachelor's of science degree in engineering from the University of Liverpool, England.",maunaully uploaded
Yes,y,Yes,Yes,m,,Dixon,Doll,Co-Founder and General Partner,DCM,"Co-Founder and General Partner, DCM",,,speaker,y," Dixon R. Doll co-founded DCM in 1996 and has led investments including About.com, Clearwire, Foundry Networks and Neutral Tandem. Previously, Dixon co-founded the VC industryâ€™s first fund focused exclusively on telecommunications.  He was a faculty member of the IBM Systems Research Institute and authored the seminal text Data Communications published in 1978.  Dixon served as NVCA Chairman from 2008-2009 and has also been a member of their Executive Committee. Under his leadership, the NVCA developed the NVCA  4-Pillar Plan to restore liquidity in the U.S. VC industry.",1251181936
