Time,Title,Subtitle,Description,Speaker,Speaker Title,Speaker Company,Panelist,Panelist Title,Panelist Company,Room
7:00 AM,REGISTRATION & BREAKFAST,,,,,,,,,
8:00 AM,OPENING REMARKS,,,,,,Om Malik,Founder,GigaOM,
,,,,,,,James Kendrick,Editor jkOnTheRun,GigaOM,
8:05 AM,MININOTE,Mobilizing the Internet: Possibilities and Opportunities,,,,,Pankaj Kedia,"Director, Global Ecosystem Programs, Mobile Internet Devices",Intel,
8:25 AM,PANEL,Monetizing Mobile Apps,Apple’s App Store: 1 billion served and rising. The Appstore has created a very accessible revenue generation model but we must explore other approaches that app publishers can take. With success there comes cost: Could we see tectonic shifts in mobile platforms?  What are the best choices for entrepreneurs and publishers? This panel maps the mobile revenue landscape by bringing differing viewpoints from entrepreneurs who have monetized their apps.,Raven Zachary,President,Small Society ,Mark Curtis,CEO,Flirtomatic,
,,,,,,,Mark Jacobstein,CEO,iSkoot,
,,,,,,,Dorrian Porter,Founder and CEO,Mozes,
,,,,,,,Krishna Vedati,CEO,Plusmo,
,,,,,,,Adam Zbar,CEO,Zannel,
9:05 AM,PANEL,Location: Context is Money,"Social applications account for 40 percent of mobile data usage, and we have the tools to bring location-awareness to those apps. So, why hasn't the location services business arrived with a bang? This panel delves into understanding how ""Context"" will unlock the profits and how we will create better services that truly make sense of location as a component.",Greg Sterling,Analyst,Sterling Market Intelligence/Opus Research,Sanjeev Agrawal,CEO,Aloqa,
,,,,,,,Ted Morgan,CEO and Founder,Skyhook Wireless,
,,,,,,,Balaji Natarajan,"Senior Manager, Mobile Technologies",Capgemini,
,,,,,,,Tasso Roumeliotis,CEO and Founder ,WaveMarket,
,,,,,,,Rahul Sonnad,CEO and Founder,Geodelic Systems,
,,,,,,,Sanjay Vakil,Founder,LuckyCal,
9:45 AM,BREAK,,(Optional Workshops - Located on Level 2),,,,,,,
,Qualcomm Workshop – Room 1,3G Evolution and LTE ,"This insightful workshop will deliver a fresh perspective on the drivers of mobile broadband evolution, while providing an overview of LTE, the 3G evolution, and advanced-topology networks. Where is the evolution of EV-DO and HSPA+ heading? How can LTE and new wider bandwidth spectrum best be leveraged to help meet rapidly growing data demand? What role will Advanced-topology networks play in the evolution of wireless systems? ",,,,Samir Khazaka,"Senior Director, Technical Marketing",Qualcomm,
10:25 AM,KEYNOTE,Innovation on Android,,,,,"Dr. Sanjay K. Jha 
","Co-CEO Motorola, Inc. and CEO, Mobile Devices",Motorola,
10:55 AM,FIRESIDE CHAT,,"In this follow on session, Om Malik talks with Sanjay Jha and the co-founder of Google Android, Andy Rubin.",Om Malik,Founder,GigaOM,Andy Rubin,"Vice President, Engineering ",Google,
,,,,,,,"Dr. Sanjay K. Jha 
","Co-CEO Motorola, Inc. and CEO, Mobile Devices",Motorola,
